"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Grong videregående skole","Alle utdanningsprogram","324","178","146","298","168","130","300","163","137","284","158","126","280","152","128","285","148","137","297","153","144","299","152","147","291","150","141","276","152","124","273","150","123","243","135","108","244","137","107","204","116","88"
50,"Grong videregående skole","Studieforberedende","150","66","84","150","69","81","179","84","95","158","73","85","141","66","75","150","63","87","156","68","88","155","52","103","157","61","96","131","60","71","117","47","70","121","52","69","126","53","73","87","38","49"
50,"Grong videregående skole","Idrettsfag","55","27","28","50","26","24","45","30","15","50","29","21","51","32","19","49","31","18","51","33","18","55","26","29","64","25","39","53","21","32","43","18","25","28","12","16","35","13","22","26","13","13"
50,"Grong videregående skole","Påbygging til generell studiekompetanse","15","6","9","20","8","12","28","7","21","19","7","12","12","3","9","23","8","15","18","5","13","16","3","13","15",NA,"15","15","5","10","15","5","10","11","1","10","15",NA,"15","5","1","4"
50,"Grong videregående skole","Studieforberedende Vg3 Naturbruk","14","14",NA,"16","15","1","23","22","1","15","12","3","14","13","1","12","12",NA,"24","22","2","16","11","5","30","24","6","28","24","4","19","14","5","37","28","9","32","25","7","20","13","7"
50,"Grong videregående skole","Studiespesialisering","66","19","47","64","20","44","83","25","58","74","25","49","64","18","46","66","12","54","63","8","55","68","12","56","48","12","36","35","10","25","40","10","30","45","11","34","44","15","29","36","11","25"
50,"Grong videregående skole","Yrkesfaglig","174","112","62","148","99","49","121","79","42","126","85","41","139","86","53","135","85","50","141","85","56","144","100","44","134","89","45","145","92","53","156","103","53","122","83","39","118","84","34","117","78","39"
50,"Grong videregående skole","Bygg- og anleggsteknikk","23","22","1","25","25",NA,"19","19",NA,"26","26",NA,"24","24",NA,"20","19","1","24","22","2","19","19",NA,"23","23",NA,"19","18","1","21","18","3","18","17","1","17","15","2","20","18","2"
50,"Grong videregående skole","Design og håndverk","8",NA,"8","7","2","5","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Grong videregående skole","Elektro og datateknologi","21","21",NA,"20","18","2","17","16","1","14","14",NA,"14","14",NA,"20","19","1","14","13","1","19","19",NA,"15","13","2","16","16",NA,"21","20","1","17","17",NA,"20","20",NA,"14","14",NA
50,"Grong videregående skole","Helse- og oppvekstfag","47","9","38","46","15","31","36","14","22","39","11","28","44","7","37","40","10","30","44","9","35","39","11","28","43","14","29","45","9","36","39","7","32","28","4","24","26","6","20","32","2","30"
50,"Grong videregående skole","Naturbruk","58","47","11","50","39","11","41","28","13","37","29","8","52","37","15","55","37","18","59","41","18","67","51","16","53","39","14","65","49","16","75","58","17","59","45","14","55","43","12","51","44","7"
50,"Grong videregående skole","Restaurant- og matfag","17","13","4",NA,NA,NA,"7","2","5","10","5","5","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
