"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Guri Kunna videregående skole avd Hitra","Alle utdanningsprogram","166","69","97","164","66","98","155","61","94","162","68","94","350","189","161","360","196","164","338","191","147","311","164","147","301","161","140","284","171","113","290","177","113","309","183","126","337","199","138","324","193","131"
50,"Guri Kunna videregående skole avd Hitra","Studieforberedende","78","25","53","75","25","50","70","20","50","83","24","59","137","47","90","141","50","91","117","42","75","101","36","65","77","23","54","72","36","36","64","36","28","73","30","43","68","31","37","65","26","39"
50,"Guri Kunna videregående skole avd Hitra","Påbygging til generell studiekompetanse","7","2","5","7","2","5",NA,NA,NA,"15","2","13","17","2","15","22","3","19","9","6","3","18","9","9","16","8","8","17","9","8","20","10","10","22","6","16","18","9","9","18","7","11"
50,"Guri Kunna videregående skole avd Hitra","Studiespesialisering","71","23","48","68","23","45","70","20","50","68","22","46","120","45","75","119","47","72","108","36","72","83","27","56","61","15","46","55","27","28","44","26","18","51","24","27","50","22","28","47","19","28"
50,"Guri Kunna videregående skole avd Hitra","Yrkesfaglig","88","44","44","89","41","48","85","41","44","79","44","35","213","142","71","219","146","73","221","149","72","210","128","82","224","138","86","212","135","77","226","141","85","236","153","83","269","168","101","259","167","92"
50,"Guri Kunna videregående skole avd Hitra","Bygg- og anleggsteknikk","14","14",NA,"20","20",NA,"14","12","2","10","9","1","12","12",NA,"15","12","3","12","9","3","9","8","1","16","14","2","13","11","2","14","10","4","10","8","2","21","17","4","25","20","5"
50,"Guri Kunna videregående skole avd Hitra","Elektro og datateknologi","30","23","7","23","18","5","27","23","4","31","28","3","26","23","3","23","17","6","28","28",NA,"30","27","3","29","28","1","21","21",NA,"25","24","1","40","38","2","40","38","2","40","36","4"
50,"Guri Kunna videregående skole avd Hitra","Helse- og oppvekstfag","28","2","26","32","2","30","27","3","24","28","4","24","33","6","27","32","5","27","33","3","30","26","4","22","26","2","24","24","4","20","26","2","24","20","2","18","34","5","29","27","4","23"
50,"Guri Kunna videregående skole avd Hitra","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74","52","22","78","57","21","88","65","23","83","52","31","96","56","40","105","64","41","105","68","37","106","68","38","112","69","43","111","70","41"
50,"Guri Kunna videregående skole avd Hitra","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","9","11","19","10","9","18","8","10","21","7","14","18","8","10","17","9","8","24","14","10","26","10","16","23","7","16","12","4","8"
50,"Guri Kunna videregående skole avd Hitra","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5","3","2","1","1",NA,"1",NA,"1","1",NA,"1",NA,NA,NA,NA,NA,NA
50,"Guri Kunna videregående skole avd Hitra","Service og samferdsel","16","5","11","14","1","13","17","3","14","10","3","7","12","6","6","15","11","4","7","3","4","14","5","9","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Guri Kunna videregående skole avd Hitra","Teknologi- og industrifag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","34","2","37","34","3","35","33","2","27","25","2","33","26","7","31","25","6","31","23","8","33","27","6","39","32","7","44","33","11"
