"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Heimdal videregående skole","Alle utdanningsprogram","725","438","287","773","454","319","714","416","298","728","433","295","734","422","312","731","419","312","872","441","431","856","430","426","890","449","441","884","438","446","892","443","449","900","430","470","919","411","508","920","437","483"
50,"Heimdal videregående skole","Studieforberedende","589","312","277","635","322","313","581","291","290","593","303","290","597","292","305","595","290","305","597","275","322","583","261","322","621","286","335","649","307","342","682","315","367","690","311","379","699","303","396","699","317","382"
50,"Heimdal videregående skole","Idrettsfag","235","141","94","237","148","89","233","138","95","240","144","96","240","142","98","241","134","107","240","132","108","240","127","113","238","126","112","232","122","110","251","131","120","280","148","132","311","155","156","341","175","166"
50,"Heimdal videregående skole","Musikk, dans og drama","84","31","53","87","29","58","81","32","49","81","36","45","86","33","53","87","32","55","88","25","63","87","30","57","90","34","56","88","39","49","84","37","47","85","40","45","88","45","43","90","46","44"
50,"Heimdal videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,"43","14","29","2",NA,"2","6","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Heimdal videregående skole","Studiespesialisering","270","140","130","268","131","137","265","121","144","266","121","145","271","117","154","267","124","143","269","118","151","256","104","152","293","126","167","329","146","183","347","147","200","325","123","202","300","103","197","268","96","172"
50,"Heimdal videregående skole","Yrkesfaglig","136","126","10","138","132","6","133","125","8","135","130","5","137","130","7","136","129","7","275","166","109","273","169","104","269","163","106","235","131","104","210","128","82","210","119","91","220","108","112","221","120","101"
50,"Heimdal videregående skole","Elektro og datateknologi","91","85","6","92","88","4","90","82","8","90","86","4","90","86","4","92","88","4","105","98","7","104","100","4","102","96","6","109","104","5","106","105","1","105","96","9","105","95","10","106","100","6"
50,"Heimdal videregående skole","Helse- og oppvekstfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","26","97","123","28","95","120","26","94","126","27","99","104","23","81","105","23","82","115","13","102","115","20","95"
50,"Heimdal videregående skole","Service og samferdsel","45","41","4","46","44","2","43","43",NA,"45","44","1","47","44","3","44","41","3","47","42","5","46","41","5","47","41","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
