"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter"
50,"Johan Bojer videregående skole Skolested Rissa","Alle utdanningsprogram","167","82","85","180","90","90","176","90","86","145","71","74","143","68","75","153","73","80","148","80","68","149","76","73","160","81","79","151","77","74","147","85","62"
50,"Johan Bojer videregående skole Skolested Rissa","Studieforberedende","98","43","55","101","47","54","88","32","56","68","20","48","65","20","45","74","27","47","59","24","35","66","26","40","69","29","40","67","29","38","69","31","38"
50,"Johan Bojer videregående skole Skolested Rissa","Påbygging til generell studiekompetanse","13","4","9","17","3","14","16","5","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Johan Bojer videregående skole Skolested Rissa","Studiespesialisering","85","39","46","84","44","40","72","27","45","68","20","48","65","20","45","74","27","47","59","24","35","66","26","40","69","29","40","67","29","38","69","31","38"
50,"Johan Bojer videregående skole Skolested Rissa","Yrkesfaglig","69","39","30","79","43","36","88","58","30","77","51","26","78","48","30","79","46","33","89","56","33","83","50","33","91","52","39","84","48","36","78","54","24"
50,"Johan Bojer videregående skole Skolested Rissa","Bygg- og anleggsteknikk","6","6",NA,"10","10",NA,"12","9","3","10","10",NA,"17","16","1","9","7","2","8","8",NA,"6","6",NA,"12","11","1","12","10","2","6","6",NA
50,"Johan Bojer videregående skole Skolested Rissa","Elektro og datateknologi","9","7","2","12","10","2","12","11","1","15","15",NA,"15","13","2","23","20","3","25","24","1","24","23","1","23","21","2","20","18","2","22","22",NA
50,"Johan Bojer videregående skole Skolested Rissa","Helse- og oppvekstfag","29","4","25","27","1","26","24","2","22","22",NA,"22","25","4","21","28","4","24","35","5","30","31","4","27","35","5","30","35","4","31","28","5","23"
50,"Johan Bojer videregående skole Skolested Rissa","Naturbruk","7","6","1","8","2","6","9","8","1","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Johan Bojer videregående skole Skolested Rissa","Teknologi- og industrifag","18","16","2","22","20","2","31","28","3","29","25","4","21","15","6","19","15","4","21","19","2","22","17","5","21","15","6","17","16","1","22","21","1"
