"fylkesnr","skole","linje","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Johan Bojer videregående skole","Alle utdanningsprogram","237","120","117","244","132","112","266","142","124"
50,"Johan Bojer videregående skole","Studieforberedende","109","44","65","101","43","58","94","32","62"
50,"Johan Bojer videregående skole","Påbygging til generell studiekompetanse","24","6","18","18","5","13","19","4","15"
50,"Johan Bojer videregående skole","Studiespesialisering","85","38","47","83","38","45","75","28","47"
50,"Johan Bojer videregående skole","Yrkesfaglig","128","76","52","143","89","54","172","110","62"
50,"Johan Bojer videregående skole","Bygg- og anleggsteknikk","19","16","3","18","14","4","28","22","6"
50,"Johan Bojer videregående skole","Elektro og datateknologi","29","27","2","36","32","4","35","31","4"
50,"Johan Bojer videregående skole","Helse- og oppvekstfag","37","5","32","35","4","31","45","8","37"
50,"Johan Bojer videregående skole","Salg, service og reiseliv","15","7","8","16","6","10","17","5","12"
50,"Johan Bojer videregående skole","Teknologi- og industrifag","28","21","7","38","33","5","47","44","3"
