"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Kyrksæterøra videregående skole","Alle utdanningsprogram","190","89","101","181","94","87","183","93","90","169","83","86","183","97","86","162","84","78","148","67","81","141","66","75","115","49","66","107","53","54","119","64","55","105","43","62","110","52","58","134","73","61"
50,"Kyrksæterøra videregående skole","Studieforberedende","94","39","55","82","41","41","88","44","44","87","36","51","89","37","52","72","26","46","55","19","36","56","16","40","49","14","35","32","15","17","36","15","21","37","12","25","37","13","24","29","10","19"
50,"Kyrksæterøra videregående skole","Påbygging til generell studiekompetanse","9","1","8","8","3","5","21","8","13","28","8","20","31","11","20","17","3","14","13","5","8","20","5","15","18","7","11","5","2","3","8","2","6","9","1","8","9","1","8","5","1","4"
50,"Kyrksæterøra videregående skole","Studiespesialisering","85","38","47","74","38","36","67","36","31","59","28","31","58","26","32","55","23","32","42","14","28","36","11","25","31","7","24","27","13","14","28","13","15","28","11","17","28","12","16","24","9","15"
50,"Kyrksæterøra videregående skole","Yrkesfaglig","96","50","46","99","53","46","95","49","46","82","47","35","94","60","34","90","58","32","93","48","45","85","50","35","66","35","31","75","38","37","83","49","34","68","31","37","73","39","34","105","63","42"
50,"Kyrksæterøra videregående skole","Bygg- og anleggsteknikk","13","13",NA,"10","9","1","8","7","1","7","4","3","12","12",NA,"16","16",NA,"9","9",NA,"13","11","2","8","6","2","11","10","1","17","17",NA,"11","11",NA,"3","3",NA,"6","5","1"
50,"Kyrksæterøra videregående skole","Helse- og oppvekstfag","29",NA,"29","35","3","32","37","3","34","31","4","27","32","3","29","31","5","26","35","4","31","19",NA,"19","18","2","16","28","3","25","27","4","23","23","3","20","19","4","15","16","4","12"
50,"Kyrksæterøra videregående skole","Naturbruk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","5","7"
50,"Kyrksæterøra videregående skole","Restaurant- og matfag","12","4","8","6","2","4","5","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Kyrksæterøra videregående skole","Teknologi- og industrifag","42","33","9","48","39","9","45","35","10","44","39","5","50","45","5","43","37","6","49","35","14","53","39","14","40","27","13","36","25","11","39","28","11","34","17","17","51","32","19","71","49","22"
