"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Levanger videregående skole","Alle utdanningsprogram","848","388","460","825","386","439","769","339","430","733","380","353","712","358","354","748","393","355","744","374","370","700","333","367","662","313","349","632","278","354","650","312","338","639","299","340","680","341","339","672","336","336"
50,"Levanger videregående skole","Studieforberedende","428","178","250","428","192","236","423","160","263","391","197","194","388","182","206","457","238","219","453","209","244","433","188","245","399","171","228","366","136","230","349","139","210","332","121","211","326","139","187","303","125","178"
50,"Levanger videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,"6","11",NA,"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Levanger videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","19","8","53","30","23","81","40","41","87","43","44","88","42","46","87","42","45","82","37","45","79","29","50","78","33","45","78","32","46"
50,"Levanger videregående skole","Påbygging til generell studiekompetanse","59","17","42","62","23","39","63","14","49","51","21","30","31","12","19","54","18","36","44","14","30","45","14","31","42","16","26","48","14","34","39","14","25","29","5","24","43","14","29","43","11","32"
50,"Levanger videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","21","9","12","18","15","3","25","9","16","23","15","8","20","6","14","22","16","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Levanger videregående skole","Studiespesialisering","329","150","179","335","152","183","326","135","191","317","161","156","304","145","159","317","174","143","328","155","173","301","131","170","269","113","156","231","80","151","228","88","140","224","87","137","205","92","113","182","82","100"
50,"Levanger videregående skole","Studiespesialisering med formgivning","19","2","17","13","2","11","9","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Levanger videregående skole","Yrkesfaglig","420","210","210","397","194","203","346","179","167","342","183","159","324","176","148","291","155","136","291","165","126","267","145","122","263","142","121","266","142","124","301","173","128","307","178","129","354","202","152","369","211","158"
50,"Levanger videregående skole","Design og håndverk","41","1","40","44",NA,"44","51","2","49","43","4","39","37","2","35","39","6","33","41","7","34","27","3","24","14","1","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Levanger videregående skole","Elektro og datateknologi","71","68","3","73","68","5","69","66","3","69","68","1","76","74","2","75","71","4","75","72","3","74","71","3","69","68","1","69","67","2","76","73","3","75","71","4","81","76","5","78","75","3"
50,"Levanger videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,"9","17","2","15","29","3","26","25","1","24","33","2","31","41","4","37"
50,"Levanger videregående skole","Helse- og oppvekstfag","104","12","92","100","8","92","85","11","74","97","18","79","100","19","81","98","16","82","88","15","73","92","16","76","97","15","82","106","14","92","103","20","83","112","23","89","110","21","89","114","16","98"
50,"Levanger videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","14","2","30","27","3"
50,"Levanger videregående skole","Medier og kommunikasjon (gammel ordning)","60","26","34","55","25","30","52","26","26","55","27","28","31","18","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Levanger videregående skole","Restaurant- og matfag","38","22","16","39","23","16","25","16","9","22","15","7","24","15","9","23","13","10","22","13","9","22","12","10","17","7","10","15","7","8","17","10","7","21","15","6","28","19","9","29","20","9"
50,"Levanger videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA
50,"Levanger videregående skole","Service og samferdsel","38","17","21","22","12","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Levanger videregående skole","Teknologi- og industrifag","68","64","4","64","58","6","64","58","6","56","51","5","56","48","8","56","49","7","65","58","7","52","43","9","57","51","6","59","52","7","76","67","9","74","68","6","85","70","15","77","69","8"
