"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Malvik videregående skole","Alle utdanningsprogram","440","253","187","428","268","160","440","250","190","416","229","187","412","211","201","443","225","218","439","214","225","442","207","235","438","193","245","410","199","211","409","199","210","416","181","235","413","194","219","424","203","221"
50,"Malvik videregående skole","Studieforberedende","302","167","135","282","168","114","299","150","149","299","150","149","285","137","148","303","150","153","299","141","158","289","134","155","275","123","152","278","131","147","290","138","152","284","116","168","275","120","155","271","125","146"
50,"Malvik videregående skole","Idrettsfag","82","46","36","72","36","36","73","31","42","63","35","28","70","34","36","88","48","40","89","53","36","91","52","39","90","46","44","89","47","42","86","51","35","87","48","39","89","47","42","86","45","41"
50,"Malvik videregående skole","Påbygging til generell studiekompetanse",NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Malvik videregående skole","Studiespesialisering","220","121","99","209","131","78","226","119","107","236","115","121","215","103","112","215","102","113","210","88","122","198","82","116","185","77","108","189","84","105","204","87","117","197","68","129","186","73","113","185","80","105"
50,"Malvik videregående skole","Yrkesfaglig","138","86","52","146","100","46","141","100","41","117","79","38","127","74","53","140","75","65","140","73","67","153","73","80","163","70","93","132","68","64","119","61","58","132","65","67","138","74","64","153","78","75"
50,"Malvik videregående skole","Bygg- og anleggsteknikk","24","23","1","22","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Malvik videregående skole","Elektro og datateknologi","43","41","2","69","65","4","85","81","4","75","73","2","77","72","5","75","70","5","68","65","3","67","66","1","69","66","3","65","61","4","62","54","8","66","60","6","71","68","3","72","69","3"
50,"Malvik videregående skole","Helse- og oppvekstfag","52","3","49","38",NA,"38","40","3","37","42","6","36","50","2","48","65","5","60","72","8","64","86","7","79","94","4","90","67","7","60","57","7","50","66","5","61","67","6","61","81","9","72"
50,"Malvik videregående skole","Teknologi- og industrifag","19","19",NA,"17","13","4","16","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
