"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter"
50,"Meldal videregående skole","Alle utdanningsprogram","301","204","97","266","185","81","255","172","83","261","175","86","280","197","83","263","188","75","250","189","61","255","183","72","245","174","71","220","165","55","222","154","68","219","154","65","232","158","74"
50,"Meldal videregående skole","Studieforberedende","25","6","19","19","8","11","17","9","8","10","4","6","18","5","13","8","2","6","13","5","8","14","6","8","12","5","7","12","4","8","10","4","6",NA,NA,NA,NA,NA,NA
50,"Meldal videregående skole","Påbygging til generell studiekompetanse","15","2","13","12","6","6","9","3","6","10","4","6","14","4","10","6","1","5","13","5","8","14","6","8","12","5","7","12","4","8","10","4","6",NA,NA,NA,NA,NA,NA
50,"Meldal videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","10","4","6","7","2","5","8","6","2",NA,NA,NA,"4","1","3","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Meldal videregående skole","Yrkesfaglig","276","198","78","247","177","70","238","163","75","251","171","80","262","192","70","255","186","69","237","184","53","241","177","64","233","169","64","208","161","47","212","150","62","219","154","65","232","158","74"
50,"Meldal videregående skole","Bygg- og anleggsteknikk","34","34",NA,"24","24",NA,"23","20","3","24","21","3","24","23","1","34","32","2","35","34","1","22","22",NA,"26","24","2","24","22","2","23","22","1","26","25","1","27","24","3"
50,"Meldal videregående skole","Design og håndverk","7",NA,"7","11",NA,"11","7","1","6","10","1","9","10","2","8","10","1","9","8","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Meldal videregående skole","Elektro og datateknologi","88","82","6","84","76","8","77","67","10","77","68","9","89","81","8","82","75","7","76","71","5","71","63","8","62","59","3","64","60","4","71","63","8","69","58","11","73","57","16"
50,"Meldal videregående skole","Helse- og oppvekstfag","33","2","31","25","2","23","22","1","21","30","2","28","31","5","26","31","6","25","30","4","26","39","6","33","35","3","32","19","2","17","19","1","18","21",NA,"21","28","2","26"
50,"Meldal videregående skole","Medier og kommunikasjon (gammel ordning)","30","9","21","21","11","10","14","5","9","16","8","8","7","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Meldal videregående skole","Restaurant- og matfag","14","7","7","13","6","7","19","9","10","22","11","11","22","8","14","18","6","12","12","6","6","20","13","7","15","10","5","16","7","9","19","5","14","12","5","7",NA,NA,NA
50,"Meldal videregående skole","Service og samferdsel","10","8","2","9","5","4","11","10","1","9","7","2","12","12",NA,"11","6","5","12","11","1","15","12","3","11","9","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Meldal videregående skole","Teknologi- og industrifag","60","56","4","60","53","7","65","50","15","63","53","10","67","57","10","69","60","9","64","54","10","74","61","13","84","64","20","85","70","15","80","59","21","91","66","25","104","75","29"
