"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Melhus videregående skole","Alle utdanningsprogram","548","301","247","573","334","239","533","309","224","534","315","219","552","322","230","527","303","224","514","293","221","467","245","222","495","244","251","448","226","222","445","231","214","446","243","203","492","267","225","499","251","248"
50,"Melhus videregående skole","Studieforberedende","301","141","160","317","170","147","291","151","140","279","149","130","305","159","146","275","145","130","272","134","138","245","109","136","252","113","139","227","92","135","233","108","125","234","114","120","260","126","134","263","121","142"
50,"Melhus videregående skole","Idrettsfag","94","49","45","93","60","33","88","57","31","85","56","29","91","61","30","83","57","26","83","57","26","71","47","24","80","47","33","67","40","27","66","42","24","78","53","25","88","55","33","86","46","40"
50,"Melhus videregående skole","Påbygging til generell studiekompetanse","30","15","15","38","19","19","32","10","22","27","12","15","29","10","19","23","13","10","25","10","15","26","9","17","30","16","14","28","9","19","29","14","15","31","14","17","26","7","19","27","12","15"
50,"Melhus videregående skole","Studiespesialisering","177","77","100","186","91","95","171","84","87","167","81","86","185","88","97","169","75","94","164","67","97","148","53","95","142","50","92","132","43","89","138","52","86","125","47","78","146","64","82","150","63","87"
50,"Melhus videregående skole","Yrkesfaglig","247","160","87","256","164","92","242","158","84","255","166","89","247","163","84","252","158","94","242","159","83","222","136","86","243","131","112","221","134","87","212","123","89","212","129","83","232","141","91","236","130","106"
50,"Melhus videregående skole","Bygg- og anleggsteknikk","31","27","4","31","30","1","26","23","3","29","28","1","27","27",NA,"29","27","2","35","32","3","58","54","4","61","51","10","58","50","8","57","42","15","53","42","11","54","47","7","60","53","7"
50,"Melhus videregående skole","Elektro og datateknologi","54","50","4","59","53","6","61","50","11","61","52","9","60","54","6","60","53","7","60","55","5","60","55","5","61","48","13","59","48","11","56","50","6","58","52","6","61","57","4","61","52","9"
50,"Melhus videregående skole","Helse- og oppvekstfag","58","5","53","53","8","45","56","10","46","55","13","42","62","10","52","61","11","50","55","12","43","57","10","47","63","3","60","49","5","44","52","15","37","52","16","36","53","12","41","59","5","54"
50,"Melhus videregående skole","Restaurant- og matfag","24","13","11","19","5","14","14","7","7","17","8","9","16","8","8","18","6","12","19","4","15","19","6","13","21","9","12","21","11","10","22","4","18","22","8","14","19","7","12","25","11","14"
50,"Melhus videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","14","8","34","20","14","25","12","13","27","11","16","45","18","27","31","9","22"
50,"Melhus videregående skole","Service og samferdsel","28","15","13","30","14","16","29","17","12","27","15","12","26","16","10","33","15","18","26","13","13","28","11","17","15","6","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Melhus videregående skole","Teknologi- og industrifag","52","50","2","64","54","10","56","51","5","66","50","16","56","48","8","51","46","5","47","43","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
