"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Olav Duun videregående skole","Alle utdanningsprogram","840","421","419","806","402","404","824","431","393","758","372","386","813","409","404","773","379","394","795","396","399","743","366","377","697","339","358","675","333","342","628","304","324","619","302","317","600","274","326","617","311","306"
50,"Olav Duun videregående skole","Studieforberedende","489","219","270","456","187","269","464","202","262","436","182","254","481","215","266","497","225","272","504","228","276","451","187","264","402","169","233","386","151","235","349","135","214","342","141","201","321","116","205","310","133","177"
50,"Olav Duun videregående skole","Idrettsfag","87","46","41","85","41","44","82","44","38","89","44","45","88","45","43","84","40","44","89","48","41","88","51","37","85","45","40","83","44","39","77","40","37","82","43","39","84","43","41","86","51","35"
50,"Olav Duun videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","19","10","41","25","16","62","40","22","37","24","13","17","12","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Olav Duun videregående skole","Musikk, dans og drama","84","29","55","79","28","51","87","31","56","80","29","51","88","30","58","89","29","60","87","34","53","87","28","59","86","28","58","82","18","64","79","16","63","75","16","59","70","21","49","64","26","38"
50,"Olav Duun videregående skole","Påbygging til generell studiekompetanse","57","31","26","46","20","26","65","31","34","54","26","28","61","23","38","76","35","41","78","21","57","62","20","42","48","19","29","63","20","43","56","22","34","60","32","28","57","19","38","52","18","34"
50,"Olav Duun videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","22","7","15","8","5","3","14","5","9","6","2","4","7","5","2","10","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Olav Duun videregående skole","Studiespesialisering","239","106","133","238","93","145","216","91","125","207","81","126","208","93","115","197","91","106","188","85","103","177","64","113","166","65","101","158","69","89","137","57","80","125","50","75","110","33","77","108","38","70"
50,"Olav Duun videregående skole","Yrkesfaglig","351","202","149","350","215","135","360","229","131","322","190","132","332","194","138","276","154","122","291","168","123","292","179","113","295","170","125","289","182","107","279","169","110","277","161","116","279","158","121","307","178","129"
50,"Olav Duun videregående skole","Bygg- og anleggsteknikk","44","44",NA,"62","62",NA,"77","77",NA,"59","58","1","54","52","2","44","42","2","51","50","1","51","50","1","50","48","2","59","54","5","64","55","9","61","53","8","66","61","5","53","50","3"
50,"Olav Duun videregående skole","Design og håndverk","35","5","30","19","1","18","23","1","22","25",NA,"25","26",NA,"26","15",NA,"15","26","1","25","27","4","23","8","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Olav Duun videregående skole","Elektro og datateknologi","39","38","1","39","38","1","30","28","2","24","21","3","28","26","2","27","23","4","27","23","4","36","33","3","44","41","3","45","44","1","44","41","3","38","36","2","41","38","3","54","53","1"
50,"Olav Duun videregående skole","Helse- og oppvekstfag","82","16","66","83","18","65","82","15","67","88","18","70","115","27","88","113","23","90","109","27","82","102","31","71","109","19","90","102","24","78","89","13","76","97","13","84","103","11","92","121","15","106"
50,"Olav Duun videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","8","7","25","18","7","19","14","5","21","16","5","13","9","4",NA,NA,NA
50,"Olav Duun videregående skole","Medier og kommunikasjon (gammel ordning)","53","22","31","45","19","26","25","11","14","29","13","16","13","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Olav Duun videregående skole","Restaurant- og matfag","18","14","4","21","13","8","24","15","9","20","10","10","12","7","5","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Olav Duun videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","5","2","13","6","7","22","8","14","20","7","13","18","7","11","15","8","7"
50,"Olav Duun videregående skole","Service og samferdsel","26","20","6","29","20","9","39","25","14","36","33","3","37","31","6","36","26","10","36","28","8","36","24","12","20","12","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Olav Duun videregående skole","Teknologi- og industrifag","54","43","11","52","44","8","60","57","3","41","37","4","47","45","2","40","39","1","42","39","3","40","37","3","42","36","6","45","36","9","41","38","3","40","36","4","38","32","6","64","52","12"
