"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Ole Vig videregående skole","Alle utdanningsprogram","959","458","501","956","482","474","973","482","491","994","493","501","1001","500","501","1005","528","477","964","503","461","954","478","476","965","488","477","952","484","468","940","476","464","987","490","497","972","499","473","994","519","475"
50,"Ole Vig videregående skole","Studieforberedende","503","194","309","503","198","305","533","208","325","554","222","332","596","250","346","598","268","330","567","248","319","553","226","327","550","215","335","526","205","321","509","208","301","539","234","305","521","233","288","534","245","289"
50,"Ole Vig videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","15","14","46","22","24","73","34","39","80","30","50","77","26","51","63","22","41","65","31","34","64","24","40","72","26","46","83","24","59"
50,"Ole Vig videregående skole","Musikk, dans og drama","87","31","56","80","25","55","84","21","63","88","23","65","81","19","62","82","24","58","82","24","58","89","22","67","82","16","66","76","17","59","66","19","47","79","26","53","74","23","51","79","26","53"
50,"Ole Vig videregående skole","Påbygging til generell studiekompetanse","59","12","47","59","21","38","55","19","36","54","26","28","62","25","37","60","28","32","53","21","32","50","19","31","56","28","28","53","20","33","47","19","28","58","28","30","56","30","26","54","28","26"
50,"Ole Vig videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","24","7","17","22","7","15","25","6","19","28","11","17","18","11","7","22","12","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Ole Vig videregående skole","Studiespesialisering","333","144","189","342","145","197","369","162","207","384","162","222","406","180","226","388","182","206","359","169","190","334","155","179","335","145","190","334","146","188","331","139","192","338","156","182","319","154","165","318","167","151"
50,"Ole Vig videregående skole","Yrkesfaglig","456","264","192","453","284","169","440","274","166","440","271","169","405","250","155","407","260","147","397","255","142","401","252","149","415","273","142","426","279","147","431","268","163","448","256","192","451","266","185","460","274","186"
50,"Ole Vig videregående skole","Bygg- og anleggsteknikk","82","81","1","87","86","1","87","87",NA,"97","96","1","92","89","3","96","91","5","100","95","5","106","100","6","93","87","6","102","96","6","107","95","12","113","93","20","108","104","4","105","96","9"
50,"Ole Vig videregående skole","Design og håndverk","30","5","25","22","4","18","22","7","15","21","5","16","28","3","25","28",NA,"28","24","1","23","21","2","19","10","2","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Ole Vig videregående skole","Elektro og datateknologi","35","31","4","34","33","1","29","28","1","37","35","2","39","39",NA,"36","35","1","39","39",NA,"44","42","2","44","44",NA,"44","43","1","53","51","2","54","49","5","54","51","3","56","52","4"
50,"Ole Vig videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,"12","26","2","24","21","2","19","29",NA,"29","32","2","30","39","3","36"
50,"Ole Vig videregående skole","Helse- og oppvekstfag","97","16","81","78","22","56","77","18","59","84","14","70","80","11","69","86","17","69","77","14","63","82","11","71","84","14","70","83","13","70","83","10","73","79","7","72","83","6","77","88","7","81"
50,"Ole Vig videregående skole","Medier og kommunikasjon (gammel ordning)","58","22","36","60","19","41","59","23","36","58","34","24","28","19","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Ole Vig videregående skole","Restaurant- og matfag","26","8","18","29","13","16","29","17","12","27","13","14","35","19","16","30","16","14","23","14","9","28","17","11","28","16","12","34","18","16","40","17","23","45","18","27","47","20","27","41","18","23"
50,"Ole Vig videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","18","12","50","30","20","38","21","17","46","15","31","49","14","35","51","31","20"
50,"Ole Vig videregående skole","Service og samferdsel","72","48","24","77","42","35","90","50","40","72","33","39","67","37","30","89","61","28","95","55","40","82","48","34","59","39","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Ole Vig videregående skole","Teknologi- og industrifag","56","53","3","66","65","1","47","44","3","44","41","3","36","33","3","42","40","2","39","37","2","38","32","6","55","53","2","87","77","10","89","72","17","82","74","8","78","69","9","80","67","13"
