"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Oppdal videregående skole","Alle utdanningsprogram","297","156","141","257","143","114","278","155","123","252","137","115","284","162","122","273","147","126","296","156","140","304","155","149","277","134","143","269","128","141","274","134","140","237","117","120","241","115","126","237","117","120"
50,"Oppdal videregående skole","Studieforberedende","195","96","99","195","105","90","202","105","97","180","93","87","206","110","96","193","90","103","206","91","115","219","100","119","179","82","97","171","76","95","187","83","104","172","74","98","159","64","95","152","69","83"
50,"Oppdal videregående skole","Idrettsfag","60","42","18","69","48","21","71","42","29","67","40","27","81","54","27","90","53","37","95","50","45","92","46","46","81","38","43","89","41","48","93","44","49","93","45","48","85","40","45","70","37","33"
50,"Oppdal videregående skole","Påbygging til generell studiekompetanse","32","9","23","27","8","19","20","9","11","17","8","9","34","14","20","16","6","10","15","4","11","27","15","12","14","5","9","14","5","9","29","13","16","15","6","9","9","4","5","6","4","2"
50,"Oppdal videregående skole","Studiespesialisering","103","45","58","99","49","50","111","54","57","96","45","51","91","42","49","87","31","56","96","37","59","100","39","61","84","39","45","68","30","38","65","26","39","64","23","41","65","20","45","76","28","48"
50,"Oppdal videregående skole","Yrkesfaglig","102","60","42","62","38","24","76","50","26","72","44","28","78","52","26","80","57","23","90","65","25","85","55","30","98","52","46","98","52","46","87","51","36","65","43","22","82","51","31","85","48","37"
50,"Oppdal videregående skole","Bygg- og anleggsteknikk","15","14","1","14","14",NA,"23","21","2","20","19","1","19","19",NA,"27","26","1","33","31","2","23","20","3","27","21","6","18","16","2","23","22","1","15","15",NA,"16","15","1","27","20","7"
50,"Oppdal videregående skole","Elektro og datateknologi","24","24",NA,"17","15","2","23","23",NA,"20","19","1","25","24","1","22","20","2","27","26","1","28","26","2","26","24","2","25","22","3","23","21","2","20","20",NA,"23","22","1","29","22","7"
50,"Oppdal videregående skole","Helse- og oppvekstfag","28","3","25","19","3","16","30","6","24","32","6","26","34","9","25","31","11","20","30","8","22","34","9","25","33","3","30","39","5","34","31","4","27","18","3","15","28","4","24","20","1","19"
50,"Oppdal videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","4","8","16","9","7","10","4","6","12","5","7","15","10","5","9","5","4"
50,"Oppdal videregående skole","Service og samferdsel","24","10","14","12","6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Oppdal videregående skole","Teknologi- og industrifag","11","9","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
