"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter"
50,"Orkdal vidaregåande skole","Alle utdanningsprogram","501","197","304","504","210","294","478","200","278","500","208","292","479","202","277","415","172","243","414","178","236","366","160","206","379","168","211","400","165","235","377","156","221","395","171","224","390","176","214"
50,"Orkdal vidaregåande skole","Studieforberedende","373","160","213","381","165","216","386","170","216","387","163","224","371","162","209","313","136","177","308","137","171","266","115","151","286","134","152","288","131","157","280","131","149","286","136","150","282","143","139"
50,"Orkdal vidaregåande skole","Idrettsfag","80","35","45","91","47","44","77","43","34","77","41","36","83","42","41","73","40","33","61","39","22","57","36","21","55","30","25","58","34","24","55","30","25","67","43","24","66","46","20"
50,"Orkdal vidaregåande skole","Musikk, dans og drama","58","23","35","55","21","34","46","20","26","40","13","27","41","15","26","39","12","27","36","12","24","33","12","21","30","13","17","25","12","13","18","9","9","11","6","5","2","1","1"
50,"Orkdal vidaregåande skole","Påbygging til generell studiekompetanse","27","9","18","27","6","21","27","10","17","27","7","20","26","6","20","27","4","23","29","3","26","29","7","22","29","10","19","24","5","19","31","4","27","35","7","28","42","14","28"
50,"Orkdal vidaregåande skole","Studiespesialisering","208","93","115","208","91","117","236","97","139","243","102","141","221","99","122","174","80","94","182","83","99","147","60","87","172","81","91","181","80","101","176","88","88","173","80","93","172","82","90"
50,"Orkdal vidaregåande skole","Yrkesfaglig","128","37","91","123","45","78","92","30","62","113","45","68","108","40","68","102","36","66","106","41","65","100","45","55","93","34","59","112","34","78","97","25","72","109","35","74","108","33","75"
50,"Orkdal vidaregåande skole","Helse- og oppvekstfag","68","1","67","69","4","65","44","3","41","45","6","39","48","4","44","47","4","43","54","7","47","47","6","41","49","8","41","60","2","58","54","2","52","60","8","52","65","8","57"
50,"Orkdal vidaregåande skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"24","12","12","35","20","15","32","16","16","33","16","17","27","13","14"
50,"Orkdal vidaregåande skole","Service og samferdsel","44","23","21","39","28","11","33","18","15","51","24","27","49","25","24","46","26","20","40","24","16","36","24","12","11","7","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Orkdal vidaregåande skole","Teknologi- og industrifag","16","13","3","15","13","2","15","9","6","17","15","2","11","11",NA,"9","6","3","12","10","2","17","15","2","9","7","2","17","12","5","11","7","4","16","11","5","16","12","4"
