"fylkesnr","skole","linje","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Orkland videregående skole","Alle utdanningsprogram","647","352","295"
50,"Orkland videregående skole","Studieforberedende","294","144","150"
50,"Orkland videregående skole","Idrettsfag","72","52","20"
50,"Orkland videregående skole","Påbygging til generell studiekompetanse","42","16","26"
50,"Orkland videregående skole","Studiespesialisering","180","76","104"
50,"Orkland videregående skole","Yrkesfaglig","353","208","145"
50,"Orkland videregående skole","Bygg- og anleggsteknikk","24","22","2"
50,"Orkland videregående skole","Elektro og datateknologi","69","54","15"
50,"Orkland videregående skole","Helse- og oppvekstfag","89","6","83"
50,"Orkland videregående skole","Salg, service og reiseliv","30","18","12"
50,"Orkland videregående skole","Teknologi- og industrifag","141","108","33"
