"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Røros videregående skole","Alle utdanningsprogram","325","145","180","289","138","151","281","125","156","273","125","148","262","125","137","229","102","127","203","95","108","208","107","101","212","94","118","213","89","124","208","75","133","175","73","102","205","95","110","203","103","100"
50,"Røros videregående skole","Studieforberedende","173","71","102","164","64","100","166","57","109","140","52","88","142","54","88","126","47","79","103","37","66","86","33","53","109","41","68","112","36","76","106","26","80","96","31","65","95","36","59","86","33","53"
50,"Røros videregående skole","Påbygging til generell studiekompetanse","30","12","18","29","9","20","20","3","17","18","5","13","21","8","13","27","12","15","21","4","17","12","4","8","20","6","14","22","6","16","19","2","17","22","5","17","20","8","12","15","3","12"
50,"Røros videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","6","5","1","8","6","2","9","1","8","8","7","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Røros videregående skole","Studiespesialisering","137","54","83","127","49","78","137","53","84","114","40","74","121","46","75","99","35","64","82","33","49","74","29","45","89","35","54","90","30","60","87","24","63","74","26","48","75","28","47","71","30","41"
50,"Røros videregående skole","Yrkesfaglig","152","74","78","125","74","51","115","68","47","133","73","60","120","71","49","103","55","48","100","58","42","122","74","48","103","53","50","101","53","48","102","49","53","79","42","37","110","59","51","117","70","47"
50,"Røros videregående skole","Bygg- og anleggsteknikk","15","15",NA,"16","16",NA,"17","17",NA,"18","18",NA,"24","23","1","17","17",NA,"21","20","1","26","25","1","18","16","2","13","10","3","15","12","3","11","7","4","17","14","3","16","15","1"
50,"Røros videregående skole","Design og håndverk","18","2","16","13","3","10","17","2","15","18","1","17","17","2","15","15","2","13","16","4","12","15","2","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Røros videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA,"5","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Røros videregående skole","Helse- og oppvekstfag","28","3","25","24","4","20","18","1","17","34","2","32","35","4","31","35","6","29","36","10","26","39","10","29","42","6","36","38","3","35","39","4","35","30","6","24","35","3","32","41","5","36"
50,"Røros videregående skole","Medier og kommunikasjon (gammel ordning)","28","10","18","25","12","13","11","10","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Røros videregående skole","Restaurant- og matfag","7","1","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Røros videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","2","4","10","4","6","17","6","11","12","5","7","18","8","10","14","9","5"
50,"Røros videregående skole","Service og samferdsel","27","16","11","26","18","8","32","20","12","38","28","10","18","17","1","10","10",NA,"6","6",NA,"7","5","2","7","5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Røros videregående skole","Teknologi- og industrifag","29","27","2","21","21",NA,"20","18","2","25","24","1","26","25","1","26","20","6","21","18","3","35","32","3","25","24","1","39","36","3","31","27","4","26","24","2","40","34","6","46","41","5"
