"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Skjetlein videregående skole","Alle utdanningsprogram","209","68","141","252","95","157","286","123","163","302","153","149","279","139","140","294","142","152","278","138","140","314","172","142","337","184","153","298","171","127","278","155","123","287","135","152","308","167","141","326","165","161"
50,"Skjetlein videregående skole","Studieforberedende","37","8","29","74","31","43","121","50","71","130","67","63","105","52","53","94","45","49","89","40","49","79","35","44","75","33","42","61","32","29","60","25","35","58","17","41","44","16","28","81","25","56"
50,"Skjetlein videregående skole","Påbygging til generell studiekompetanse","22","6","16","61","27","34","101","48","53","117","62","55","91","47","44","85","44","41","84","40","44","72","33","39","67","32","35","59","31","28","47","23","24","46","16","30","33","14","19","67","24","43"
50,"Skjetlein videregående skole","Studieforberedende Vg3 Naturbruk","15","2","13","10","3","7","16",NA,"16","9","3","6","11","2","9","9","1","8","5",NA,"5","7","2","5","8","1","7","2","1","1","13","2","11","12","1","11","11","2","9","14","1","13"
50,"Skjetlein videregående skole","Studiespesialisering",NA,NA,NA,"3","1","2","4","2","2","4","2","2","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Skjetlein videregående skole","Yrkesfaglig","172","60","112","178","64","114","165","73","92","172","86","86","174","87","87","200","97","103","189","98","91","235","137","98","262","151","111","237","139","98","218","130","88","229","118","111","264","151","113","245","140","105"
50,"Skjetlein videregående skole","Bygg- og anleggsteknikk","31","28","3","28","25","3","28","26","2","42","40","2","45","41","4","52","48","4","43","43",NA,"43","40","3","45","40","5","56","50","6","49","46","3","40","34","6","57","46","11","59","50","9"
50,"Skjetlein videregående skole","Design og håndverk","16","3","13","24","2","22","12","2","10",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Skjetlein videregående skole","Naturbruk","125","29","96","126","37","89","125","45","80","130","46","84","128","46","82","148","49","99","146","55","91","156","63","93","161","59","102","135","48","87","115","38","77","142","45","97","155","56","99","130","39","91"
50,"Skjetlein videregående skole","Teknologi- og industrifag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36","34","2","56","52","4","46","41","5","54","46","8","47","39","8","52","49","3","56","51","5"
