"fylkesnr","skole","linje","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Sommerschild skole","Alle utdanningsprogram","72","23","49"
50,"Sommerschild skole","Studieforberedende","50","19","31"
50,"Sommerschild skole","Medier og kommunikasjon","3","1","2"
50,"Sommerschild skole","Musikk, dans og drama","1","1",NA
50,"Sommerschild skole","Påbygging til generell studiekompetanse","32","14","18"
50,"Sommerschild skole","Studiespesialisering","14","3","11"
50,"Sommerschild skole","Yrkesfaglig","22","4","18"
50,"Sommerschild skole","Elektro og datateknologi","1","1",NA
50,"Sommerschild skole","Frisør, blomster, interiør og eksponeringsdesign","4",NA,"4"
50,"Sommerschild skole","Helse- og oppvekstfag","12","3","9"
50,"Sommerschild skole","Informasjonsteknologi og medieproduksjon","1",NA,"1"
50,"Sommerschild skole","Naturbruk","2",NA,"2"
50,"Sommerschild skole","Salg, service og reiseliv","2",NA,"2"
