"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Steinkjer videregående skole","Alle utdanningsprogram","1069","542","527","1058","534","524","985","509","476","1010","529","481","1007","508","499","1021","489","532","989","481","508","966","477","489","906","481","425","913","479","434","844","429","415","807","402","405","839","403","436","911","440","471"
50,"Steinkjer videregående skole","Studieforberedende","547","252","295","558","255","303","547","263","284","549","261","288","572","266","306","622","259","363","579","248","331","554","232","322","523","238","285","519","229","290","469","194","275","414","161","253","419","157","262","472","179","293"
50,"Steinkjer videregående skole","Idrettsfag","183","104","79","181","95","86","167","99","68","169","98","71","169","85","84","183","86","97","178","92","86","182","96","86","178","107","71","164","96","68","134","79","55","116","59","57","125","72","53","151","76","75"
50,"Steinkjer videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","5","13","27","7","20","42","12","30","40","12","28","36","9","27","42","8","34","47","10","37","54","10","44","58","8","50","65","15","50"
50,"Steinkjer videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","15","11","38","19","19","52","28","24","41","23","18","35","23","12","17","15","2","6","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Steinkjer videregående skole","Påbygging til generell studiekompetanse","75","22","53","54","21","33","72","22","50","66","22","44","58","24","34","71","26","45","65","23","42","59","16","43","54","22","32","65","31","34","65","21","44","55","17","38","57","12","45","57","14","43"
50,"Steinkjer videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","12","7","5","14","6","8","13","7","6","7","6","1","16","10","6","10","5","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Steinkjer videregående skole","Studiespesialisering","268","119","149","303","133","170","295","135","160","307","135","172","285","127","158","293","116","177","242","93","149","232","85","147","220","77","143","231","79","152","217","79","138","189","75","114","179","65","114","199","74","125"
50,"Steinkjer videregående skole","Studiespesialisering med formgivning","9",NA,"9","6",NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Steinkjer videregående skole","Yrkesfaglig","522","290","232","500","279","221","438","246","192","461","268","193","435","242","193","399","230","169","410","233","177","412","245","167","383","243","140","394","250","144","375","235","140","393","241","152","420","246","174","439","261","178"
50,"Steinkjer videregående skole","Bygg- og anleggsteknikk","75","73","2","71","68","3","50","50",NA,"46","46",NA,"56","54","2","62","56","6","79","65","14","79","70","9","77","69","8","80","71","9","62","53","9","69","57","12","76","65","11","74","69","5"
50,"Steinkjer videregående skole","Design og håndverk","20","5","15","22","4","18","24","4","20","18","6","12","9","2","7","13","4","9","12","1","11","8","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Steinkjer videregående skole","Elektro og datateknologi","42","42",NA,"41","38","3","41","38","3","42","39","3","41","40","1","42","39","3","42","36","6","44","37","7","42","35","7","54","49","5","51","48","3","54","51","3","49","48","1","52","48","4"
50,"Steinkjer videregående skole","Helse- og oppvekstfag","161","17","144","143","12","131","117","6","111","130","16","114","140","15","125","134","17","117","113","13","100","122","21","101","102","19","83","98","12","86","93","6","87","91","6","85","104","6","98","102","5","97"
50,"Steinkjer videregående skole","Medier og kommunikasjon (gammel ordning)","54","19","35","42","20","22","42","30","12","53","32","21","29","15","14","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Steinkjer videregående skole","Naturbruk",NA,NA,NA,"1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Steinkjer videregående skole","Restaurant- og matfag","36","22","14","35","15","20","32","15","17","29","12","17","30","8","22","28","13","15","40","21","19","34","14","20","32","18","14","31","17","14","24","13","11","37","18","19","42","23","19","50","30","20"
50,"Steinkjer videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","12","10","35","23","12","29","21","8","25","17","8","41","20","21","49","30","19"
50,"Steinkjer videregående skole","Service og samferdsel","58","43","15","57","41","16","46","25","21","42","24","18","33","22","11","28","20","8","30","18","12","28","21","7","8","7","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Steinkjer videregående skole","Teknologi- og industrifag","76","69","7","88","80","8","85","77","8","101","93","8","97","86","11","91","81","10","94","79","15","97","81","16","100","83","17","96","78","18","116","94","22","117","92","25","108","84","24","112","79","33"
