"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Thora Storm videregående skole","Alle utdanningsprogram","937","320","617","778","255","523","743","234","509","847","263","584","867","249","618","875","253","622","890","264","626","871","275","596","869","251","618","848","261","587","804","249","555","772","241","531","798","238","560","807","241","566"
50,"Thora Storm videregående skole","Studieforberedende","722","280","442","562","215","347","523","196","327","625","229","396","644","208","436","651","206","445","639","212","427","623","223","400","625","205","420","596","215","381","566","200","366","542","207","335","533","199","334","563","201","362"
50,"Thora Storm videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","4","25","54","10","44","83","15","68","88","10","78","89","7","82","82","5","77","80","11","69","89","14","75","84","15","69","87","14","73"
50,"Thora Storm videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA
50,"Thora Storm videregående skole","Påbygging til generell studiekompetanse","92","34","58","9","3","6","13","10","3","94","41","53","99","38","61","80","25","55","76","25","51","77","28","49","83","24","59","74","30","44","61","25","36",NA,NA,NA,NA,NA,NA,"24","13","11"
50,"Thora Storm videregående skole","Studiespesialisering","547","233","314","470","204","266","437","181","256","452","184","268","465","163","302","488","169","319","480","172","308","458","185","273","453","174","279","440","180","260","425","164","261","453","193","260","448","184","264","452","174","278"
50,"Thora Storm videregående skole","Studiespesialisering med formgivning","83","13","70","83","8","75","73","5","68","79","4","75","51","3","48","29","2","27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Thora Storm videregående skole","Yrkesfaglig","215","40","175","216","40","176","220","38","182","222","34","188","223","41","182","224","47","177","251","52","199","248","52","196","244","46","198","252","46","206","238","49","189","230","34","196","265","39","226","244","40","204"
50,"Thora Storm videregående skole","Design og håndverk","65","9","56","60","9","51","64","7","57","64","9","55","55","5","50","50","6","44","69","9","60","68","7","61","33","2","31","14",NA,"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Thora Storm videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","1","27","44","3","41","56","3","53","56","2","54","67","5","62","59","2","57"
50,"Thora Storm videregående skole","Helse- og oppvekstfag","94","11","83","99","9","90","103","12","91","107","3","104","111","11","100","114","12","102","120","14","106","118","14","104","124","16","108","143","16","127","126","17","109","118","6","112","135","17","118","120","11","109"
50,"Thora Storm videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","16","15","51","27","24","56","29","27","56","26","30","63","17","46","65","27","38"
50,"Thora Storm videregående skole","Service og samferdsel","56","20","36","57","22","35","53","19","34","51","22","29","57","25","32","60","29","31","62","29","33","62","31","31","28","11","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
