"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Tiller videregående skole","Alle utdanningsprogram","709","387","322","694","366","328","697","373","324","713","398","315","746","449","297","683","393","290","581","390","191","556","383","173","573","396","177","572","396","176","562","381","181","613","398","215","684","435","249","677","433","244"
50,"Tiller videregående skole","Studieforberedende","246","122","124","263","102","161","285","119","166","289","133","156","320","150","170","325","158","167","329","184","145","316","183","133","308","177","131","307","184","123","303","187","116","333","188","145","366","204","162","353","191","162"
50,"Tiller videregående skole","Idrettsfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","15",NA,"26","25","1","44","43","1","45","44","1","42","42",NA,"24","24",NA
50,"Tiller videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30","17","13","59","26","33","87","44","43","82","49","33","77","51","26","59","38","21","64","29","35","62","23","39","64","24","40","35","12","23"
50,"Tiller videregående skole","Påbygging til generell studiekompetanse","58","18","40","60","15","45","60","18","42","59","24","35","60","19","41","61","19","42","59","29","30","62","30","32","60","21","39","85","33","52",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Tiller videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","24","17","7","34","9","25","30","11","19","28","14","14","29","9","20","27","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Tiller videregående skole","Studiespesialisering","164","87","77","169","78","91","195","90","105","202","95","107","201","105","96","178","100","78","183","111","72","172","104","68","156","90","66","137","88","49","195","115","80","226","121","105","260","138","122","294","155","139"
50,"Tiller videregående skole","Yrkesfaglig","463","265","198","431","264","167","412","254","158","424","265","159","426","299","127","358","235","123","252","206","46","240","200","40","265","219","46","265","212","53","259","194","65","280","210","70","318","231","87","324","242","82"
50,"Tiller videregående skole","Bygg- og anleggsteknikk","133","127","6","139","132","7","120","118","2","117","112","5","121","118","3","118","113","5","120","112","8","119","115","4","120","115","5","100","92","8","115","105","10","125","117","8","132","122","10","109","100","9"
50,"Tiller videregående skole","Helse- og oppvekstfag","151","32","119","111","20","91","104","23","81","124","43","81","142","63","79","123","37","86","3",NA,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Tiller videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","11","4","35","27","8","53","46","7","62","53","9","71","60","11","102","88","14"
50,"Tiller videregående skole","Medier og kommunikasjon (gammel ordning)","66","22","44","65","29","36","58","24","34","60","26","34","31","16","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Tiller videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66","40","26","93","60","33","91","43","48","93","40","53","115","49","66","113","54","59"
50,"Tiller videregående skole","Service og samferdsel","113","84","29","116","83","33","130","89","41","123","84","39","132","102","30","117","85","32","129","94","35","121","85","36","64","53","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Tiller videregående skole","Teknologi- og industrifag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37","33","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
