"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Verdal videregående skole","Alle utdanningsprogram","564","294","270","560","294","266","561","305","256","498","258","240","509","255","254","499","248","251","524","268","256","508","252","256","550","269","281","524","243","281","530","243","287","533","260","273","511","258","253","497","241","256"
50,"Verdal videregående skole","Studieforberedende","264","97","167","275","102","173","274","103","171","265","108","157","252","97","155","225","84","141","238","92","146","243","88","155","258","96","162","242","73","169","213","62","151","190","60","130","202","66","136","184","63","121"
50,"Verdal videregående skole","Idrettsfag","106","46","60","95","43","52","66","33","33","69","34","35","70","27","43","75","26","49","72","28","44","66","29","37","75","26","49","64","15","49","62","21","41","59","27","32","61","37","24","66","38","28"
50,"Verdal videregående skole","Påbygging til generell studiekompetanse","38","11","27","38","12","26","38","16","22","38","18","20","28","10","18","28","7","21","45","13","32","44","6","38","47","15","32","44","11","33","42","6","36","37","8","29","57","10","47","38","9","29"
50,"Verdal videregående skole","Studiespesialisering","120","40","80","142","47","95","170","54","116","158","56","102","154","60","94","122","51","71","121","51","70","133","53","80","136","55","81","134","47","87","109","35","74","94","25","69","84","19","65","80","16","64"
50,"Verdal videregående skole","Yrkesfaglig","300","197","103","285","192","93","287","202","85","233","150","83","257","158","99","274","164","110","286","176","110","265","164","101","292","173","119","282","170","112","317","181","136","343","200","143","309","192","117","313","178","135"
50,"Verdal videregående skole","Bygg- og anleggsteknikk","111","108","3","99","93","6","102","98","4","83","80","3","97","93","4","96","88","8","98","93","5","106","96","10","104","95","9","94","86","8","92","81","11","98","84","14","94","83","11","84","75","9"
50,"Verdal videregående skole","Design og håndverk","22","3","19","23","4","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Verdal videregående skole","Helse- og oppvekstfag","72","12","60","59","16","43","64","12","52","66","11","55","85","13","72","89","10","79","83","6","77","73","8","65","85","9","76","82","7","75","92","5","87","79","3","76","68","4","64","89","4","85"
50,"Verdal videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","12",NA,"23","22","1","33","30","3","30","23","7","10","7","3",NA,NA,NA
50,"Verdal videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22","8","14","35","14","21","43","16","27","56","21","35","50","22","28","52","20","32"
50,"Verdal videregående skole","Service og samferdsel","40","25","15","41","27","14","60","37","23","49","28","21","35","22","13","45","32","13","59","40","19","40","22","18","18","8","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Verdal videregående skole","Teknologi- og industrifag","55","49","6","63","52","11","61","55","6","35","31","4","40","30","10","44","34","10","46","37","9","46","38","8","51","41","10","48","41","7","57","49","8","80","69","11","87","76","11","88","79","9"
