"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
50,"Ytre Namdal videregående skole","Alle utdanningsprogram","314","155","159","299","154","145","279","136","143","291","148","143","295","147","148","281","144","137","277","148","129","258","124","134","277","132","145","251","114","137","281","130","151","252","125","127","285","145","140","301","150","151"
50,"Ytre Namdal videregående skole","Studieforberedende","147","53","94","138","56","82","158","55","103","140","52","88","141","52","89","136","49","87","125","45","80","112","32","80","120","41","79","120","35","85","107","26","81","79","18","61","100","25","75","104","27","77"
50,"Ytre Namdal videregående skole","Påbygging til generell studiekompetanse","15","5","10","10","2","8","20","3","17","20","6","14","14","3","11","21","1","20","14","5","9","15","5","10","27","10","17","25","9","16","27","6","21","11","3","8","27","6","21","20","6","14"
50,"Ytre Namdal videregående skole","Studiespesialisering","132","48","84","128","54","74","138","52","86","120","46","74","127","49","78","115","48","67","111","40","71","97","27","70","93","31","62","95","26","69","80","20","60","68","15","53","73","19","54","84","21","63"
50,"Ytre Namdal videregående skole","Yrkesfaglig","167","102","65","161","98","63","121","81","40","151","96","55","154","95","59","145","95","50","152","103","49","146","92","54","157","91","66","131","79","52","174","104","70","173","107","66","185","120","65","197","123","74"
50,"Ytre Namdal videregående skole","Bygg- og anleggsteknikk","19","18","1","20","20",NA,"13","12","1","18","17","1","21","19","2","22","19","3","21","18","3","12","12",NA,"12","9","3","10","7","3","19","14","5","13","11","2","9","8","1","15","12","3"
50,"Ytre Namdal videregående skole","Helse- og oppvekstfag","46","1","45","44","3","41","18","1","17","33","2","31","43","4","39","35","2","33","35","3","32","43","5","38","45","2","43","39","3","36","44","4","40","37","4","33","32","2","30","39","1","38"
50,"Ytre Namdal videregående skole","Naturbruk","18","18",NA,"19","19",NA,"15","15",NA,"19","18","1","21","19","2","21","19","2","26","22","4","27","24","3","39","29","10","42","34","8","46","33","13","54","41","13","57","42","15","55","39","16"
50,"Ytre Namdal videregående skole","Restaurant- og matfag","18","5","13","20","6","14","14","3","11","17","5","12","14","3","11","16","7","9","15","8","7","18","7","11","14","5","9","10","7","3","16","12","4","13","2","11","16","6","10","21","11","10"
50,"Ytre Namdal videregående skole","Service og samferdsel","7","3","4","11","4","7","7","2","5","12","5","7","12","9","3","3","3",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"Ytre Namdal videregående skole","Teknologi- og industrifag","59","57","2","47","46","1","54","48","6","52","49","3","43","41","2","48","45","3","54","51","3","46","44","2","47","46","1","30","28","2","49","41","8","56","49","7","71","62","9","67","60","7"
