"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
55,"Bardufoss videregående skole","Alle utdanningsprogram","542","318","224","511","300","211","524","298","226","495","296","199","458","271","187","496","298","198","458","272","186","442","271","171","460","261","199","414","248","166","417","246","171","441","251","190","456","241","215","427","223","204"
55,"Bardufoss videregående skole","Studieforberedende","225","91","134","214","92","122","233","96","137","222","100","122","246","116","130","264","125","139","256","121","135","233","109","124","251","111","140","216","106","110","215","103","112","193","81","112","196","69","127","162","50","112"
55,"Bardufoss videregående skole","Idrettsfag","70","37","33","73","38","35","89","45","44","91","47","44","111","62","49","98","64","34","98","58","40","70","46","24","78","44","34","77","50","27","86","55","31","85","47","38","83","38","45","81","31","50"
55,"Bardufoss videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","1","1","26","11","15","30","17","13","42","22","20","42","23","19","21","13","8","14","9","5",NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Bardufoss videregående skole","Påbygging til generell studiekompetanse","27","10","17","24","10","14","31","10","21","26","9","17","33","14","19","34","14","20","32","14","18","27","15","12","40","16","24","26","14","12","28","8","20","29","10","19","24","4","20",NA,NA,NA
55,"Bardufoss videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","12","5","7","18","10","8","17","7","10","17","11","6","11","6","5","10","6","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Bardufoss videregående skole","Studiespesialisering","116","39","77","99","34","65","96","34","62","88","33","55","89","33","56","96","30","66","96","32","64","94","26","68","91","28","63","92","29","63","87","31","56","79","24","55","89","27","62","81","19","62"
55,"Bardufoss videregående skole","Yrkesfaglig","317","227","90","297","208","89","291","202","89","273","196","77","212","155","57","232","173","59","202","151","51","209","162","47","209","150","59","198","142","56","202","143","59","248","170","78","260","172","88","265","173","92"
55,"Bardufoss videregående skole","Bygg- og anleggsteknikk","47","43","4","36","31","5","36","32","4","26","26",NA,"27","27",NA,"46","45","1","45","45",NA,"49","49",NA,"48","43","5","46","38","8","45","38","7","59","54","5","51","43","8","47","42","5"
55,"Bardufoss videregående skole","Design og håndverk","29","5","24","34","5","29","39","7","32","34","4","30","29","3","26","32","5","27","28","5","23","28","9","19","11","2","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Bardufoss videregående skole","Elektro og datateknologi","85","78","7","93","83","10","92","84","8","91","83","8","119","109","10","122","113","9","100","94","6","99","92","7","109","99","10","119","100","19","107","100","7","126","107","19","144","123","21","149","125","24"
55,"Bardufoss videregående skole","Helse- og oppvekstfag","25","3","22","21","4","17","15","4","11","18","3","15","20","5","15","32","10","22","29","7","22","33","12","21","31","6","25","11","2","9","25","4","21","46","3","43","44","1","43","35","2","33"
55,"Bardufoss videregående skole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,"10","22","2","20","25","1","24","17","6","11","21","5","16","34","4","30"
55,"Bardufoss videregående skole","Medier og kommunikasjon (gammel ordning)","58","27","31","49","26","23","50","20","30","35","17","18","17","11","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Bardufoss videregående skole","Teknologi- og industrifag","73","71","2","64","59","5","59","55","4","69","63","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
