"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
55,"Breivang videregående skole","Alle utdanningsprogram","311","66","245","328","71","257","306","68","238","323","126","197","349","137","212","311","124","187","317","129","188","294","137","157","262","120","142","318","155","163","406","176","230","454","155","299","418","128","290","390","142","248"
55,"Breivang videregående skole","Studieforberedende","79","9","70","79","14","65","78","22","56","79","20","59","136","53","83","153","65","88","151","61","90","149","66","83","143","60","83","163","69","94","181","52","129","206","50","156","181","46","135","148","43","105"
55,"Breivang videregående skole","Kunst, design og arkitektur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27","4","23","41","7","34","62","7","55","67","13","54","76","17","59","84","24","60","104","14","90","130","18","112","114","17","97","86","17","69"
55,"Breivang videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"43","30","13","65","41","24","89","54","35","82","53","29","67","43","24","79","45","34","77","38","39","76","32","44","67","29","38","62","26","36"
55,"Breivang videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","16","4","12","16","8","8","23","17","6","14","8","6","28","10","18","24","10","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Breivang videregående skole","Studiespesialisering",NA,NA,NA,NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Breivang videregående skole","Studiespesialisering med formgivning","63","5","58","63","6","57","54","5","49","65","12","53","38","9","29","23","7","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Breivang videregående skole","Yrkesfaglig","232","57","175","249","57","192","228","46","182","244","106","138","213","84","129","158","59","99","166","68","98","145","71","74","119","60","59","155","86","69","225","124","101","248","105","143","237","82","155","242","99","143"
55,"Breivang videregående skole","Design og håndverk","54","3","51","44","4","40","39","1","38","41","3","38","50","2","48","44","4","40","41","2","39","37","4","33","12","1","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Breivang videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","4","12","39","6","33","58","4","54","79","6","73","87","5","82","83","7","76"
55,"Breivang videregående skole","Helse- og oppvekstfag","120","18","102","146","21","125","137","25","112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Breivang videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"31","28","3","61","55","6","90","81","9","84","69","15","63","51","12","72","61","11"
55,"Breivang videregående skole","Medier og kommunikasjon (gammel ordning)","58","36","22","59","32","27","52","20","32","80","33","47","37","17","20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Breivang videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","9","17","55","25","30","77","39","38","85","30","55","87","26","61","87","31","56"
55,"Breivang videregående skole","Service og samferdsel",NA,NA,NA,NA,NA,NA,NA,NA,NA,"123","70","53","126","65","61","114","55","59","125","66","59","108","67","41","34","18","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
