"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter"
55,"Breivika videregående skole (Nedlagt)","Alle utdanningsprogram","627","360","267","501","304","197","478","276","202"
55,"Breivika videregående skole (Nedlagt)","Studieforberedende","81","32","49","60","26","34","60","28","32"
55,"Breivika videregående skole (Nedlagt)","Idrettsfag",NA,NA,NA,"1",NA,"1",NA,NA,NA
55,"Breivika videregående skole (Nedlagt)","IDIDR3 - Idrettsfag vg3",NA,NA,NA,"1",NA,"1",NA,NA,NA
55,"Breivika videregående skole (Nedlagt)","Påbygging til generell studiekompetanse","64","29","35","59","26","33","60","28","32"
55,"Breivika videregående skole (Nedlagt)","Studieforberedende Vg3 Medier og kommunikasjon","16","3","13",NA,NA,NA,NA,NA,NA
55,"Breivika videregående skole (Nedlagt)","Studiespesialisering med formgivning","1",NA,"1",NA,NA,NA,NA,NA,NA
55,"Breivika videregående skole (Nedlagt)","Yrkesfaglig","546","328","218","441","278","163","418","248","170"
55,"Breivika videregående skole (Nedlagt)","Bygg- og anleggsteknikk","1","1",NA,NA,NA,NA,NA,NA,NA
55,"Breivika videregående skole (Nedlagt)","Elektro og datateknologi","98","95","3","99","98","1","94","92","2"
55,"Breivika videregående skole (Nedlagt)","Helse- og oppvekstfag","145","14","131","117","17","100","125","14","111"
55,"Breivika videregående skole (Nedlagt)","Medier og kommunikasjon (gammel ordning)","103","67","36","54","31","23","29","13","16"
55,"Breivika videregående skole (Nedlagt)","Restaurant- og matfag","94","56","38","73","43","30","69","36","33"
55,"Breivika videregående skole (Nedlagt)","Service og samferdsel","1",NA,"1",NA,NA,NA,NA,NA,NA
55,"Breivika videregående skole (Nedlagt)","Teknologi- og industrifag","104","95","9","98","89","9","101","93","8"
