"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
55,"Nord-Troms videregående skole avd Nordreisa","Alle utdanningsprogram","401","218","183","372","211","161","350","189","161","330","180","150","340","174","166","312","187","125","325","186","139","296","171","125","308","162","146","311","171","140","301","171","130","316","170","146","293","150","143","265","129","136"
55,"Nord-Troms videregående skole avd Nordreisa","Studieforberedende","228","109","119","198","100","98","206","89","117","211","86","125","202","69","133","194","88","106","185","81","104","166","74","92","172","65","107","165","66","99","158","60","98","158","63","95","124","39","85","105","39","66"
55,"Nord-Troms videregående skole avd Nordreisa","Idrettsfag","18","12","6","29","17","12","37","20","17","39","20","19","34","16","18","36","19","17","35","18","17","37","16","21","38","18","20","43","17","26","44","21","23","46","17","29","28","11","17","25","11","14"
55,"Nord-Troms videregående skole avd Nordreisa","Påbygging til generell studiekompetanse","28","11","17","14","2","12","22","11","11","23","8","15","20","8","12","16","10","6","19","10","9","11","5","6","14","3","11","7","3","4","9","3","6","14","7","7","16","5","11","11","8","3"
55,"Nord-Troms videregående skole avd Nordreisa","Studiespesialisering","182","86","96","155","81","74","147","58","89","149","58","91","148","45","103","142","59","83","131","53","78","118","53","65","120","44","76","115","46","69","105","36","69","98","39","59","80","23","57","69","20","49"
55,"Nord-Troms videregående skole avd Nordreisa","Yrkesfaglig","173","109","64","174","111","63","144","100","44","119","94","25","138","105","33","118","99","19","140","105","35","130","97","33","136","97","39","146","105","41","143","111","32","158","107","51","169","111","58","160","90","70"
55,"Nord-Troms videregående skole avd Nordreisa","Bygg- og anleggsteknikk","7","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Nord-Troms videregående skole avd Nordreisa","Design og håndverk","13","2","11","10","1","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,"1",NA,"1",NA,NA,NA,NA,NA,NA
55,"Nord-Troms videregående skole avd Nordreisa","Elektro og datateknologi","16","16",NA,"24","24",NA,"23","22","1","25","25",NA,"27","25","2","28","27","1","27","27",NA,"22","21","1","23","19","4","26","23","3","24","22","2","27","25","2","27","23","4","25","23","2"
55,"Nord-Troms videregående skole avd Nordreisa","Helse- og oppvekstfag","60","12","48","55","8","47","40","4","36","25","2","23","29","5","24","18","7","11","30","9","21","22","7","15","20","3","17","25","4","21","20","4","16","27","4","23","34","6","28","41","6","35"
55,"Nord-Troms videregående skole avd Nordreisa","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","9","1","18","17","1","17","17",NA,"13","13",NA,"16","14","2","5","4","1"
55,"Nord-Troms videregående skole avd Nordreisa","Naturbruk","28","27","1","37","36","1","29","25","4","37","35","2","42","39","3","28","23","5","47","36","11","53","42","11","53","43","10","54","39","15","58","46","12","61","43","18","61","42","19","59","34","25"
55,"Nord-Troms videregående skole avd Nordreisa","Restaurant- og matfag","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Nord-Troms videregående skole avd Nordreisa","Service og samferdsel","15","15",NA,"13","10","3","14","13","1","8","8",NA,"14","12","2","15","13","2","10","8","2","7","5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Nord-Troms videregående skole avd Nordreisa","Teknologi- og industrifag","32","28","4","35","32","3","38","36","2","24","24",NA,"26","24","2","29","29",NA,"26","25","1","26","22","4","30","23","7","23","22","1","22","20","2","29","22","7","31","26","5","30","23","7"
