"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
55,"Senja videregående skole avd Finnfjordbotn","Alle utdanningsprogram","502","264","238","560","280","280","505","272","233","511","284","227","585","317","268","606","338","268","602","353","249","573","333","240","564","331","233","533","312","221","559","285","274","572","293","279","555","302","253","575","298","277"
55,"Senja videregående skole avd Finnfjordbotn","Studieforberedende","269","115","154","313","130","183","291","134","157","299","142","157","315","139","176","324","142","182","313","144","169","288","130","158","258","119","139","218","96","122","238","100","138","242","86","156","239","88","151","228","73","155"
55,"Senja videregående skole avd Finnfjordbotn","Påbygging til generell studiekompetanse","23","10","13","35","13","22",NA,NA,NA,NA,NA,NA,"32","10","22","36","15","21","30","10","20","29","7","22","31","13","18","24","7","17","30","9","21","30","9","21","30","7","23","50","13","37"
55,"Senja videregående skole avd Finnfjordbotn","Studiespesialisering","246","105","141","278","117","161","291","134","157","299","142","157","283","129","154","288","127","161","283","134","149","259","123","136","227","106","121","194","89","105","208","91","117","212","77","135","209","81","128","178","60","118"
55,"Senja videregående skole avd Finnfjordbotn","Yrkesfaglig","233","149","84","247","150","97","214","138","76","212","142","70","270","178","92","282","196","86","289","209","80","285","203","82","306","212","94","315","216","99","321","185","136","330","207","123","316","214","102","347","225","122"
55,"Senja videregående skole avd Finnfjordbotn","Bygg- og anleggsteknikk","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Senja videregående skole avd Finnfjordbotn","Elektro og datateknologi","19","19",NA,"26","25","1","27","24","3","24","23","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Senja videregående skole avd Finnfjordbotn","Helse- og oppvekstfag","17","9","8","15","1","14","15","2","13","14","1","13","15","1","14","14","1","13","15","1","14","15","2","13","16","2","14","15","2","13","15","1","14","15","1","14","15",NA,"15","15","2","13"
55,"Senja videregående skole avd Finnfjordbotn","Naturbruk","81","38","43","94","47","47","80","51","29","70","44","26","92","55","37","112","76","36","131","95","36","126","89","37","135","86","49","140","91","49","135","75","60","138","80","58","116","77","39","121","78","43"
55,"Senja videregående skole avd Finnfjordbotn","Restaurant- og matfag","40","20","20","35","19","16","34","18","16","34","15","19","37","17","20","28","15","13","28","14","14","26","13","13","25","15","10","35","18","17","39","13","26","37","20","17","37","25","12","41","15","26"
55,"Senja videregående skole avd Finnfjordbotn","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","3","7","11","7","4","14","8","6","22","7","15","27","10","17","35","15","20"
55,"Senja videregående skole avd Finnfjordbotn","Service og samferdsel","42","32","10","41","28","13","32","20","12","28","19","9","45","34","11","49","31","18","45","40","5","45","34","11","26","25","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Senja videregående skole avd Finnfjordbotn","Teknologi- og industrifag","33","30","3","36","30","6","26","23","3","42","40","2","81","71","10","79","73","6","70","59","11","73","65","8","94","81","13","114","98","16","118","88","30","118","99","19","121","102","19","135","115","20"
