"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
55,"Sjøvegan videregående skole","Alle utdanningsprogram","199","98","101","179","87","92","196","96","100","210","95","115","198","88","110","216","102","114","202","103","99","177","81","96","182","80","102","157","66","91","142","66","76","140","63","77","160","83","77","176","91","85"
55,"Sjøvegan videregående skole","Studieforberedende","97","46","51","87","41","46","95","44","51","106","44","62","97","32","65","111","45","66","93","37","56","98","35","63","87","25","62","72","25","47","67","28","39","75","33","42","71","32","39","72","26","46"
55,"Sjøvegan videregående skole","Påbygging til generell studiekompetanse","27","9","18","25","11","14","19","7","12","24","12","12","23","5","18","34","15","19","16","7","9","25","10","15","22","6","16","14","7","7","11","5","6","13","4","9","12","2","10","15","2","13"
55,"Sjøvegan videregående skole","Studiespesialisering","70","37","33","62","30","32","76","37","39","82","32","50","74","27","47","77","30","47","77","30","47","73","25","48","65","19","46","58","18","40","56","23","33","62","29","33","59","30","29","57","24","33"
55,"Sjøvegan videregående skole","Yrkesfaglig","102","52","50","92","46","46","101","52","49","104","51","53","101","56","45","105","57","48","109","66","43","79","46","33","95","55","40","85","41","44","75","38","37","65","30","35","89","51","38","104","65","39"
55,"Sjøvegan videregående skole","Helse- og oppvekstfag","57","15","42","49","10","39","49","9","40","49","8","41","49","12","37","57","13","44","59","19","40","44","15","29","45","15","30","48","11","37","39","5","34","37","4","33","42","10","32","39","9","30"
55,"Sjøvegan videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9","6","3","14","13","1","14","14",NA,"13","13",NA,"20","18","2","29","24","5"
55,"Sjøvegan videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","4","2","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Sjøvegan videregående skole","Service og samferdsel","25","19","6","18","13","5","24","20","4","24","21","3","20","16","4","23","20","3","26","23","3","10","10",NA,"15","15",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Sjøvegan videregående skole","Teknologi- og industrifag","20","18","2","25","23","2","28","23","5","31","22","9","32","28","4","25","24","1","24","24",NA,"25","21","4","20","15","5","20","16","4","22","19","3","15","13","2","27","23","4","36","32","4"
