"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
55,"Stangnes Rå videregående skole avd Stangnes","Alle utdanningsprogram","576","329","247","532","271","261","522","284","238","488","259","229","470","246","224","442","233","209","436","256","180","574","336","238","562","320","242","530","282","248","532","273","259","544","273","271","546","281","265","595","296","299"
55,"Stangnes Rå videregående skole avd Stangnes","Studieforberedende","134","49","85","118","25","93","108","24","84","108","31","77","111","37","74","106","28","78","100","33","67","157","72","85","153","75","78","128","60","68","142","62","80","139","51","88","157","65","92","162","65","97"
55,"Stangnes Rå videregående skole avd Stangnes","Idrettsfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"71","42","29","79","47","32","87","47","40","88","45","43","87","43","44","88","42","46","85","35","50"
55,"Stangnes Rå videregående skole avd Stangnes","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"18","7","11","11","3","8","9","2","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Stangnes Rå videregående skole avd Stangnes","Påbygging til generell studiekompetanse","81","35","46","69","16","53","73","20","53","80","25","55","85","29","56","94","25","69","91","31","60","72","21","51","66","23","43","40","13","27","54","17","37","52","8","44","69","23","46","77","30","47"
55,"Stangnes Rå videregående skole avd Stangnes","Studieforberedende Vg3 Medier og kommunikasjon","18","12","6","14","7","7","6","1","5","11","4","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Stangnes Rå videregående skole avd Stangnes","Studiespesialisering",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","9","5","8","5","3","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Stangnes Rå videregående skole avd Stangnes","Studiespesialisering med formgivning","35","2","33","35","2","33","29","3","26","17","2","15","8","1","7","1",NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,"Stangnes Rå videregående skole avd Stangnes","Yrkesfaglig","442","280","162","414","246","168","414","260","154","380","228","152","359","209","150","336","205","131","336","223","113","417","264","153","409","245","164","402","222","180","390","211","179","405","222","183","389","216","173","433","231","202"
55,"Stangnes Rå videregående skole avd Stangnes","Bygg- og anleggsteknikk","55","54","1","52","51","1","52","50","2","49","46","3","51","49","2","47","42","5","53","46","7","50","46","4","51","48","3","45","41","4","47","44","3","45","37","8","41","33","8","47","44","3"
