"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
56,"Alta videregående skole","Alle utdanningsprogram","939","446","493","982","464","518","940","436","504","961","446","515","943","433","510","953","456","497","939","432","507","848","366","482","853","388","465","778","375","403","786","375","411","729","344","385","743","340","403","759","354","405"
56,"Alta videregående skole","Studieforberedende","532","220","312","575","234","341","543","229","314","539","216","323","570","222","348","582","227","355","565","198","367","510","169","341","537","200","337","462","195","267","446","176","270","390","145","245","387","133","254","353","126","227"
56,"Alta videregående skole","Idrettsfag","74","46","28","68","44","24","77","53","24","73","54","19","66","47","19","65","47","18","74","46","28","63","27","36","61","27","34","49","25","24","51","31","20","53","29","24","53","29","24","56","27","29"
56,"Alta videregående skole","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20","8","12","34","18","16","48","20","28","42","12","30","40","15","25","47","16","31","37","12","25","27","3","24","21","3","18","7","2","5"
56,"Alta videregående skole","Musikk, dans og drama","58","21","37","55","20","35","45","15","30","46","11","35","50","14","36","55","16","39","62","15","47","47","12","35","50","16","34","32","17","15","30","14","16","29","11","18","30","6","24","29","6","23"
56,"Alta videregående skole","Påbygging til generell studiekompetanse","79","30","49","96","22","74","83","25","58","49","16","33","49","16","33","45","20","25","36","10","26","29","8","21","54","15","39","45","22","23","45","16","29","21","8","13","28","6","22","25","10","15"
56,"Alta videregående skole","Studieforberedende Vg3 Medier og kommunikasjon","14","6","8","14","7","7","9","5","4","9","5","4","9","3","6","13","5","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Alta videregående skole","Studiespesialisering","307","117","190","342","141","201","329","131","198","362","130","232","376","134","242","370","121","249","345","107","238","329","110","219","332","127","205","289","115","174","283","103","180","260","94","166","255","89","166","236","81","155"
56,"Alta videregående skole","Yrkesfaglig","407","226","181","407","230","177","397","207","190","422","230","192","373","211","162","371","229","142","374","234","140","338","197","141","316","188","128","316","180","136","340","199","141","339","199","140","356","207","149","406","228","178"
56,"Alta videregående skole","Bygg- og anleggsteknikk","50","47","3","49","47","2","45","41","4","49","47","2","50","47","3","48","46","2","46","45","1","44","42","2","50","47","3","46","41","5","59","47","12","43","40","3","44","39","5","41","34","7"
56,"Alta videregående skole","Design og håndverk","24","2","22","23","2","21","24","3","21","22","2","20","27","5","22","26","5","21","25","3","22","24","2","22","7",NA,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Alta videregående skole","Elektro og datateknologi","45","42","3","45","41","4","43","33","10","44","36","8","45","41","4","45","40","5","44","40","4","45","37","8","42","34","8","45","40","5","55","49","6","54","48","6","56","46","10","59","50","9"
56,"Alta videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","1","14","20",NA,"20","17","2","15","23","1","22","30","2","28","39","3","36"
56,"Alta videregående skole","Helse- og oppvekstfag","90","5","85","87","3","84","85","9","76","100","13","87","83","6","77","89","13","76","101","13","88","89","9","80","71","10","61","81","9","72","77","4","73","73","2","71","73","7","66","86","8","78"
56,"Alta videregående skole","Informasjonsteknologi og medieproduksjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","11","2"
56,"Alta videregående skole","Medier og kommunikasjon (gammel ordning)","27","13","14","26","11","15","27","8","19","31","10","21","10","3","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Alta videregående skole","Restaurant- og matfag","46","24","22","43","24","19","38","19","19","40","26","14","36","20","16","29","16","13","16","8","8","24","15","9","28","21","7","27","18","9","24","17","7","22","16","6","30","20","10","38","25","13"
56,"Alta videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","3","8","16","7","9","13","8","5","18","10","8","20","12","8","25","16","9"
56,"Alta videregående skole","Service og samferdsel","62","38","24","62","35","27","65","36","29","67","35","32","60","35","25","66","44","22","60","48","12","46","34","12","27","20","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Alta videregående skole","Teknologi- og industrifag","63","55","8","72","67","5","70","58","12","69","61","8","62","54","8","68","65","3","82","77","5","66","58","8","65","52","13","81","65","16","95","72","23","106","82","24","103","81","22","105","81","24"
