"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
56,"Hammerfest videregående skole","Alle utdanningsprogram","430","222","208","446","232","214","422","201","221","407","203","204","423","224","199","391","202","189","377","193","184","368","196","172","349","175","174","364","184","180","331","149","182","319","150","169","309","144","165","331","162","169"
56,"Hammerfest videregående skole","Studieforberedende","179","70","109","177","63","114","181","64","117","169","56","113","167","67","100","174","68","106","179","67","112","165","63","102","150","54","96","168","65","103","150","46","104","152","52","100","127","41","86","149","66","83"
56,"Hammerfest videregående skole","Påbygging til generell studiekompetanse","31","9","22","28","7","21","35","15","20","26","9","17","32","19","13","30","11","19","47","14","33","25","11","14","29","10","19","31","18","13","27","6","21","26","10","16","17","1","16","22","9","13"
56,"Hammerfest videregående skole","Studiespesialisering","148","61","87","149","56","93","146","49","97","143","47","96","135","48","87","144","57","87","132","53","79","140","52","88","121","44","77","137","47","90","123","40","83","126","42","84","110","40","70","127","57","70"
56,"Hammerfest videregående skole","Yrkesfaglig","251","152","99","269","169","100","241","137","104","238","147","91","256","157","99","217","134","83","198","126","72","203","133","70","199","121","78","196","119","77","181","103","78","167","98","69","182","103","79","182","96","86"
56,"Hammerfest videregående skole","Bygg- og anleggsteknikk","18","17","1","22","21","1","18","17","1","23","20","3","23","22","1","24","22","2","26","25","1","25","22","3","20","18","2","28","27","1","27","25","2","21","16","5","22","17","5","23","19","4"
56,"Hammerfest videregående skole","Design og håndverk","8","1","7","13","1","12","14","1","13","17","3","14","17","6","11","9",NA,"9","8","2","6","7","2","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Hammerfest videregående skole","Elektro og datateknologi","52","45","7","53","51","2","49","46","3","53","43","10","51","45","6","41","37","4","39","35","4","40","38","2","39","35","4","36","31","5","35","29","6","38","30","8","40","35","5","30","25","5"
56,"Hammerfest videregående skole","Helse- og oppvekstfag","54","11","43","57","10","47","55","9","46","53","15","38","77","14","63","73","23","50","69","23","46","57","15","42","59","11","48","54","9","45","45","8","37","37","5","32","45","6","39","52","6","46"
56,"Hammerfest videregående skole","Restaurant- og matfag","10","8","2","7","6","1","12","4","8","7","5","2","16","11","5","21","13","8","14","12","2","11","10","1","9","7","2","13","11","2","15","6","9","10","8","2","15","6","9","21","8","13"
56,"Hammerfest videregående skole","Salg, service og reiseliv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","6","4","15","11","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Hammerfest videregående skole","Service og samferdsel","25","10","15","27","13","14","21","9","12","21","12","9","19","13","6","24","16","8","20","10","10","24","15","9","8","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Hammerfest videregående skole","Teknologi- og industrifag","84","60","24","90","67","23","72","51","21","64","49","15","53","46","7","25","23","2","22","19","3","39","31","8","54","36","18","50","30","20","59","35","24","61","39","22","60","39","21","56","38","18"
