"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
56,"Kirkenes videregående skole","Alle utdanningsprogram","493","277","216","460","257","203","461","265","196","489","262","227","502","275","227","479","260","219","492","261","231","486","267","219","448","241","207","415","210","205","373","191","182","391","210","181","395","221","174","416","214","202"
56,"Kirkenes videregående skole","Studieforberedende","204","79","125","191","72","119","204","75","129","200","66","134","218","87","131","214","79","135","217","86","131","204","74","130","198","74","124","196","69","127","179","63","116","163","67","96","155","69","86","172","67","105"
56,"Kirkenes videregående skole","Påbygging til generell studiekompetanse","31","11","20","28","9","19","29","14","15","30","14","16","32","18","14","31","8","23","30","15","15","31","12","19","29","9","20","30","9","21","29","9","20","24","12","12","17","8","9","30","8","22"
56,"Kirkenes videregående skole","Studiespesialisering","173","68","105","163","63","100","175","61","114","170","52","118","186","69","117","183","71","112","187","71","116","173","62","111","169","65","104","166","60","106","150","54","96","139","55","84","138","61","77","142","59","83"
56,"Kirkenes videregående skole","Yrkesfaglig","289","198","91","269","185","84","257","190","67","289","196","93","284","188","96","265","181","84","275","175","100","282","193","89","250","167","83","219","141","78","194","128","66","228","143","85","240","152","88","244","147","97"
56,"Kirkenes videregående skole","Bygg- og anleggsteknikk","73","66","7","64","58","6","72","69","3","80","69","11","73","64","9","69","65","4","70","62","8","74","70","4","63","54","9","58","49","9","58","42","16","60","46","14","55","44","11","61","49","12"
56,"Kirkenes videregående skole","Design og håndverk","31","5","26","23","3","20","18","3","15","20","1","19","18",NA,"18","18","2","16","17","4","13","13","2","11","4",NA,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Kirkenes videregående skole","Elektro og datateknologi","30","27","3","31","29","2","29","25","4","28","25","3","30","28","2","28","27","1","30","30",NA,"29","27","2","30","27","3","28","25","3","31","29","2","38","33","5","37","32","5","37","30","7"
56,"Kirkenes videregående skole","Frisør, blomster, interiør og eksponeringsdesign",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","3","10","12","6","6","9","3","6","20","1","19","16","1","15","16","2","14"
56,"Kirkenes videregående skole","Helse- og oppvekstfag","53","13","40","54","15","39","47","15","32","59","13","46","54","7","47","60","14","46","79","23","56","64","14","50","49","12","37","47","9","38","37","6","31","37","7","30","48","9","39","46","7","39"
56,"Kirkenes videregående skole","Medier og kommunikasjon (gammel ordning)",NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Kirkenes videregående skole","Restaurant- og matfag","27","15","12","26","17","9","25","21","4","22","16","6","27","15","12","23","14","9","17","3","14","21","13","8","18","12","6","12","5","7","11","6","5","15","8","7","18","9","9","15","8","7"
56,"Kirkenes videregående skole","Service og samferdsel","1","1",NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Kirkenes videregående skole","Teknologi- og industrifag","74","71","3","70","62","8","65","56","9","80","72","8","82","74","8","67","59","8","62","53","9","81","67","14","73","59","14","62","47","15","48","42","6","58","48","10","66","57","9","69","51","18"
