"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
56,"Lakselv videregående skole","Alle utdanningsprogram","217","117","100","211","110","101","198","96","102","204","104","100","175","90","85","174","93","81","189","99","90","166","80","86","161","73","88","135","62","73","124","54","70","129","56","73","112","54","58","131","64","67"
56,"Lakselv videregående skole","Studieforberedende","93","39","54","87","36","51","80","29","51","91","39","52","76","32","44","83","37","46","99","43","56","77","28","49","69","24","45","64","22","42","58","24","34","59","20","39","48","16","32","55","21","34"
56,"Lakselv videregående skole","Påbygging til generell studiekompetanse","23","7","16","22","11","11","24","12","12","36","17","19","26","11","15","30","14","16","27","12","15","18","11","7","26","13","13","23","12","11","12","7","5","9","1","8","6","1","5","12","4","8"
56,"Lakselv videregående skole","Studiespesialisering","70","32","38","65","25","40","56","17","39","55","22","33","50","21","29","53","23","30","72","31","41","59","17","42","43","11","32","41","10","31","46","17","29","50","19","31","42","15","27","43","17","26"
56,"Lakselv videregående skole","Yrkesfaglig","124","78","46","124","74","50","118","67","51","113","65","48","99","58","41","91","56","35","90","56","34","89","52","37","92","49","43","71","40","31","66","30","36","70","36","34","64","38","26","76","43","33"
56,"Lakselv videregående skole","Design og håndverk","8",NA,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Lakselv videregående skole","Elektro og datateknologi","8","7","1","22","21","1","23","19","4","24","21","3","22","19","3","22","21","1","24","21","3","24","22","2","23","21","2","19","16","3","20","15","5","24","21","3","20","20",NA,"21","17","4"
56,"Lakselv videregående skole","Helse- og oppvekstfag","35","11","24","41","8","33","35","5","30","41","6","35","40","6","34","39","9","30","39","11","28","37","5","32","47","7","40","29","4","25","33","3","30","31","2","29","28","5","23","36","8","28"
56,"Lakselv videregående skole","Medier og kommunikasjon (gammel ordning)","26","14","12","23","8","15","26","11","15","20","12","8","9","6","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Lakselv videregående skole","Teknologi- og industrifag","47","46","1","38","37","1","34","32","2","28","26","2","28","27","1","30","26","4","27","24","3","28","25","3","22","21","1","23","20","3","13","12","1","15","13","2","16","13","3","19","18","1"
