"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
56,"Nordkapp videregående skole","Alle utdanningsprogram","280","155","125","275","158","117","251","149","102","230","129","101","218","131","87","218","126","92","245","137","108","230","136","94","223","132","91","162","102","60","165","98","67","167","101","66","200","123","77","192","127","65"
56,"Nordkapp videregående skole","Studieforberedende","134","54","80","133","49","84","130","52","78","100","38","62","82","31","51","81","28","53","109","41","68","103","44","59","87","34","53","41","16","25","37","13","24","35","12","23","33","13","20","34","16","18"
56,"Nordkapp videregående skole","Påbygging til generell studiekompetanse","7","5","2","8","4","4","10","5","5","23","5","18",NA,NA,NA,NA,NA,NA,"43","17","26","39","22","17","46","20","26","1",NA,"1","2","1","1",NA,NA,NA,"1",NA,"1",NA,NA,NA
56,"Nordkapp videregående skole","Studiespesialisering","127","49","78","125","45","80","120","47","73","77","33","44","82","31","51","81","28","53","66","24","42","64","22","42","41","14","27","40","16","24","35","12","23","35","12","23","32","13","19","34","16","18"
56,"Nordkapp videregående skole","Yrkesfaglig","146","101","45","142","109","33","121","97","24","130","91","39","136","100","36","137","98","39","136","96","40","127","92","35","136","98","38","121","86","35","128","85","43","132","89","43","167","110","57","158","111","47"
56,"Nordkapp videregående skole","Elektro og datateknologi","38","34","4","38","34","4","37","36","1","39","34","5","38","33","5","33","31","2","29","25","4","31","25","6","33","26","7","17","15","2","25","16","9","21","16","5","39","32","7","43","39","4"
56,"Nordkapp videregående skole","Helse- og oppvekstfag","20","1","19","15","2","13","15","2","13","20","3","17","18","4","14","19","3","16","17","2","15","16","2","14","16","4","12","13","1","12","15","2","13","8","3","5","18","1","17","7",NA,"7"
56,"Nordkapp videregående skole","Naturbruk","23","22","1","23","22","1","29","25","4","36","29","7","43","38","5","51","41","10","52","41","11","48","43","5","50","43","7","45","37","8","47","33","14","62","40","22","68","48","20","64","40","24"
56,"Nordkapp videregående skole","Restaurant- og matfag","25","9","16","23","9","14","12","6","6","10","3","7","14","4","10","14","4","10","14","5","9","14","5","9","13","5","8","12","5","7","10","5","5","10","5","5","14","6","8","9","3","6"
56,"Nordkapp videregående skole","Service og samferdsel","6","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Nordkapp videregående skole","Teknologi- og industrifag","34","32","2","43","42","1","28","28",NA,"25","22","3","23","21","2","20","19","1","24","23","1","18","17","1","24","20","4","34","28","6","31","29","2","31","25","6","28","23","5","35","29","6"
