"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
56,"Samisk videregående skole Karasjok","Alle utdanningsprogram","139","72","67","154","75","79","137","70","67","143","76","67","141","66","75","132","64","68","119","55","64","100","57","43","105","58","47","121","62","59","104","54","50","90","43","47","87","41","46","88","44","44"
56,"Samisk videregående skole Karasjok","Studieforberedende","93","42","51","101","50","51","99","43","56","92","46","46","92","32","60","86","32","54","75","28","47","59","31","28","61","30","31","73","37","36","62","26","36","42","16","26","45","17","28","29","13","16"
56,"Samisk videregående skole Karasjok","Medier og kommunikasjon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7","4","3","8","6","2","6","5","1","7","6","1","8","7","1","9","6","3","4","2","2","4","1","3",NA,NA,NA
56,"Samisk videregående skole Karasjok","Musikk, dans og drama",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Samisk videregående skole Karasjok","Påbygging til generell studiekompetanse","27","14","13","17","8","9","19","8","11","14","9","5","16","8","8","15","10","5","11","6","5","13","8","5","11","5","6","16","8","8","10","4","6","7","3","4","12","3","9","7","4","3"
56,"Samisk videregående skole Karasjok","Studiespesialisering","66","28","38","84","42","42","80","35","45","77","36","41","76","24","52","64","18","46","56","16","40","40","18","22","43","19","24","49","22","27","43","16","27","31","11","20","29","13","16","22","9","13"
56,"Samisk videregående skole Karasjok","Yrkesfaglig","46","30","16","53","25","28","38","27","11","51","30","21","49","34","15","46","32","14","44","27","17","41","26","15","44","28","16","48","25","23","42","28","14","48","27","21","42","24","18","59","31","28"
56,"Samisk videregående skole Karasjok","Bygg- og anleggsteknikk","8","7","1","8","7","1","10","10",NA,"9","9",NA,"16","16",NA,"13","13",NA,"10","10",NA,"5","5",NA,"9","8","1","16","12","4","13","10","3","17","17",NA,"16","16",NA,"13","13",NA
56,"Samisk videregående skole Karasjok","Elektro og datateknologi","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Samisk videregående skole Karasjok","Helse- og oppvekstfag","25","11","14","28","9","19","17","10","7","27","8","19","26","11","15","24","10","14","27","10","17","25","11","14","23","8","15","21","4","17","15","6","9","21","2","19","21","3","18","28","2","26"
56,"Samisk videregående skole Karasjok","Medier og kommunikasjon (gammel ordning)",NA,NA,NA,"8","2","6","5","1","4","4","2","2","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Samisk videregående skole Karasjok","Teknologi- og industrifag","12","11","1","9","7","2","6","6",NA,"11","11",NA,"6","6",NA,"9","9",NA,"7","7",NA,"11","10","1","12","12",NA,"11","9","2","14","12","2","10","8","2","5","5",NA,"18","16","2"
