"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
56,"Samisk videregående skole og reindriftsskole","Alle utdanningsprogram","88","38","50","89","40","49","89","46","43","94","54","40","103","55","48","94","50","44","81","40","41","91","51","40","85","43","42","92","45","47","86","38","48","89","39","50","99","46","53","94","46","48"
56,"Samisk videregående skole og reindriftsskole","Studieforberedende","58","15","43","57","19","38","51","19","32","47","25","22","54","27","27","41","18","23","29","7","22","30","13","17","49","17","32","48","19","29","35","11","24","34","13","21","40","12","28","34","12","22"
56,"Samisk videregående skole og reindriftsskole","Idrettsfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","2","1","2",NA,"2","4","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Samisk videregående skole og reindriftsskole","Påbygging til generell studiekompetanse","18","3","15","18","10","8","14","5","9","12","9","3","11","7","4","8","4","4","10","1","9","6","3","3","20","9","11","16","8","8","4",NA,"4","11","4","7","20","7","13","16","5","11"
56,"Samisk videregående skole og reindriftsskole","Studiespesialisering","40","12","28","39","9","30","37","14","23","35","16","19","43","20","23","33","14","19","19","6","13","24","10","14","26","6","20","30","11","19","27","10","17","23","9","14","20","5","15","18","7","11"
56,"Samisk videregående skole og reindriftsskole","Yrkesfaglig","30","23","7","32","21","11","38","27","11","47","29","18","49","28","21","53","32","21","52","33","19","61","38","23","36","26","10","44","26","18","51","27","24","55","26","29","59","34","25","60","34","26"
56,"Samisk videregående skole og reindriftsskole","Bygg- og anleggsteknikk","14","13","1","13","13",NA,"11","11",NA,"8","7","1","15","14","1","15","15",NA,"12","12",NA,"14","13","1","11","11",NA,"9","8","1","8","7","1","7","7",NA,"13","13",NA,"12","11","1"
56,"Samisk videregående skole og reindriftsskole","Design og håndverk","1",NA,"1","6",NA,"6","7",NA,"7","12","3","9","15","5","10","12","2","10","8",NA,"8","11",NA,"11","2",NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Samisk videregående skole og reindriftsskole","Håndverk, design og produktutvikling",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4","1","3","5","2","3","4","2","2","6","1","5","5","1","4","10","1","9"
56,"Samisk videregående skole og reindriftsskole","Naturbruk","14","9","5","8","5","3","10","8","2","16","10","6","13","3","10","18","7","11","19","12","7","19","11","8","12","8","4","16","6","10","24","5","19","28","7","21","24","6","18","20","7","13"
56,"Samisk videregående skole og reindriftsskole","Restaurant- og matfag",NA,NA,NA,"4","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"4","8","5","3","7","6","1","4","1","3","3","1","2","4","1","3","5","2","3","4","2","2"
56,"Samisk videregående skole og reindriftsskole","Teknologi- og industrifag","1","1",NA,"1","1",NA,"10","8","2","11","9","2","6","6",NA,"8","8",NA,"9","9",NA,"9","9",NA,NA,NA,NA,"10","9","1","12","12",NA,"10","10",NA,"12","12",NA,"14","13","1"
