"fylkesnr","skole","linje","2012-13 alle","2012-13 gutter","2012-13 jenter","2013-14 alle","2013-14 gutter","2013-14 jenter","2014-15 alle","2014-15 gutter","2014-15 jenter","2015-16 alle","2015-16 gutter","2015-16 jenter","2016-17 alle","2016-17 gutter","2016-17 jenter","2017-18 alle","2017-18 gutter","2017-18 jenter","2018-19 alle","2018-19 gutter","2018-19 jenter","2019-20 alle","2019-20 gutter","2019-20 jenter","2020-21 alle","2020-21 gutter","2020-21 jenter","2021-22 alle","2021-22 gutter","2021-22 jenter","2022-23 alle","2022-23 gutter","2022-23 jenter","2023-24 alle","2023-24 gutter","2023-24 jenter","2024-25 alle","2024-25 gutter","2024-25 jenter","2025-26 alle","2025-26 gutter","2025-26 jenter"
56,"Vadsø videregående skole","Alle utdanningsprogram","274","131","143","289","155","134","270","141","129","255","125","130","300","148","152","295","135","160","256","125","131","239","124","115","179","86","93","182","80","102","168","75","93","196","92","104","161","73","88","177","93","84"
56,"Vadsø videregående skole","Studieforberedende","180","69","111","185","81","104","167","68","99","167","69","98","173","68","105","165","60","105","143","60","83","138","57","81","111","44","67","118","39","79","111","42","69","128","48","80","113","47","66","125","57","68"
56,"Vadsø videregående skole","Idrettsfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","8","8","22","12","10","34","18","16","26","19","7","34","24","10"
56,"Vadsø videregående skole","Påbygging til generell studiekompetanse","3",NA,"3","4","2","2","4","2","2","8","4","4","5","1","4","1","1",NA,NA,NA,NA,"1",NA,"1","1",NA,"1","12","5","7","1",NA,"1","9","3","6","7","2","5","10","3","7"
56,"Vadsø videregående skole","Studiespesialisering","177","69","108","181","79","102","163","66","97","159","65","94","168","67","101","164","59","105","143","60","83","137","57","80","110","44","66","90","26","64","88","30","58","85","27","58","80","26","54","81","30","51"
56,"Vadsø videregående skole","Yrkesfaglig","94","62","32","104","74","30","103","73","30","88","56","32","127","80","47","130","75","55","113","65","48","101","67","34","68","42","26","64","41","23","57","33","24","68","44","24","48","26","22","52","36","16"
56,"Vadsø videregående skole","Elektro og datateknologi","22","22",NA,"23","23",NA,"25","22","3","19","19",NA,"28","27","1","26","25","1","22","19","3","23","23",NA,"18","14","4","18","17","1","14","13","1","15","15",NA,"14","10","4","16","13","3"
56,"Vadsø videregående skole","Helse- og oppvekstfag","28","7","21","27","6","21","25","5","20","37","9","28","55","14","41","74","22","52","69","29","40","55","24","31","31","10","21","23","5","18","28","10","18","30","11","19","19","5","14","21","8","13"
56,"Vadsø videregående skole","Medier og kommunikasjon (gammel ordning)","27","18","9","25","20","5","26","20","6","16","12","4","12","9","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Vadsø videregående skole","Restaurant- og matfag",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"Vadsø videregående skole","Teknologi- og industrifag","17","15","2","29","25","4","27","26","1","16","16",NA,"31","29","2","30","28","2","22","17","5","23","20","3","19","18","1","23","19","4","15","10","5","23","18","5","15","11","4","15","15",NA
